-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                         cudaEventQuery         0.18%       3.354ms         0.18%       3.355ms       0.611us       4.546ms         0.24%       4.546ms       0.828us          5488
                                     triton_red_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us       4.216ms         0.22%       4.216ms       1.968us          2142
void vllm::concat_and_cache_mla_kernel<__nv_bfloat16...         0.00%       0.000us         0.00%       0.000us       0.000us       4.052ms         0.21%       4.052ms       1.861us          2177
void vllm::moe::count_and_sort_expert_tokens_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       3.976ms         0.21%       3.976ms       1.855us          2143
triton_poi_fused_add_clone_copy_expand_index_mul_neg...         0.00%       0.000us         0.00%       0.000us       0.000us       3.955ms         0.21%       3.955ms       1.846us          2142
                           _moe_C::moe_align_block_size         0.04%     716.400us         0.11%       2.141ms      17.843us       3.722ms         0.20%       3.722ms      31.021us           120
                      triton_poi_fused_mul_silu_slice_0         0.00%       0.000us         0.00%       0.000us       0.000us       3.004ms         0.16%       3.004ms       1.402us          2143
                                     triton_poi_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us       2.974ms         0.16%       2.974ms       1.388us          2142
                  triton_poi_fused_add_all_gather_mul_1         0.00%       0.000us         0.00%       0.000us       0.000us       2.958ms         0.16%       2.958ms       1.381us          2143
                                            aten::copy_         0.24%       4.548ms         0.51%       9.649ms       6.076us       2.330ms         0.12%       2.335ms       1.471us          1588
                               _C_custom_ar::all_reduce         0.05%     932.742us         0.23%       4.381ms      27.556us       1.587ms         0.08%       1.783ms      11.212us           159
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       1.587ms         0.08%       1.587ms      22.669us            70
                                  _C::dsv3_fused_a_gemm         0.02%     434.774us         1.36%      25.804ms     211.509us       1.477ms         0.08%       1.744ms      14.293us           122
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.355ms         0.07%       1.355ms       4.703us           288
               nvjet_tst_192x8_64x8_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.322ms         0.07%       1.322ms      37.785us            35
                                        cudaEventRecord         0.05%     964.610us         0.05%     964.610us       0.630us     988.573us         0.05%     988.573us       0.646us          1530
                                              aten::bmm         0.28%       5.301ms         5.49%     104.099ms     426.635us     968.722us         0.05%       1.416ms       5.803us           244
               nvjet_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     668.349us         0.04%     668.349us      19.096us            35
                    cudaThreadExchangeStreamCaptureMode         0.01%     215.114us         0.01%     215.114us       0.195us     660.225us         0.03%     660.225us       0.598us          1104
triton_red_fused__to_copy_add_mean_min_latency_fused...         0.10%       1.908ms         0.13%       2.434ms      20.624us     555.008us         0.03%     555.008us       4.703us           118
                               _moe_C::dsv3_router_gemm         0.02%     402.200us         0.06%       1.072ms       8.933us     524.986us         0.03%     524.986us       4.375us           120
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     431.930us         0.02%     431.930us       1.301us           332
                                           aten::argmax         0.03%     567.175us         0.65%      12.353ms     352.943us     399.974us         0.02%     464.392us      13.268us            35
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_seq...         0.09%       1.775ms         0.12%       2.258ms      18.819us     362.209us         0.02%     362.209us       3.018us           120
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     359.041us         0.02%     359.041us       9.973us            36
                                        cudaGraphLaunch         4.56%      86.534ms         4.86%      92.081ms       2.790ms     307.711us         0.02%     307.711us       9.325us            33
                                  cudaStreamIsCapturing         0.03%     547.796us         0.03%     547.796us       0.500us     295.711us         0.02%     295.711us       0.270us          1095
## Call CompiledFxGraph ffwxs4oi6eqxvhufdckr7xq6y4dt...         0.00%       0.000us         0.00%       0.000us       0.000us     283.870us         0.02%     283.870us     141.935us             2
                                     triton_red_fused_4         0.07%       1.275ms         0.11%       2.177ms      18.144us     282.367us         0.01%     367.202us       3.060us           120
triton_poi_fused_add_clone_copy_expand_index_mul_neg...         0.05%     940.452us         2.53%      47.892ms     399.102us     251.036us         0.01%     295.227us       2.460us           120
                     _C_cache_ops::concat_and_cache_mla         0.04%     740.855us         3.10%      58.684ms     481.018us     243.363us         0.01%     336.034us       2.754us           122
                                     triton_poi_fused_3         0.07%       1.283ms         2.52%      47.751ms     397.921us     240.702us         0.01%     313.530us       2.613us           120
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     239.259us         0.01%     239.259us       1.673us           143
                  triton_poi_fused_add_all_gather_mul_1         0.08%       1.591ms         0.11%       2.094ms      17.448us     220.834us         0.01%     220.834us       1.840us           120
                      triton_poi_fused_mul_silu_slice_0         0.10%       1.845ms         0.13%       2.401ms      20.011us     218.362us         0.01%     218.362us       1.820us           120
## Call CompiledFxGraph f722uuz4ehmyyvl3fwvgbq764gxg...         0.00%       0.000us         0.00%       0.000us       0.000us     218.362us         0.01%     218.362us       1.820us           120
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     192.989us         0.01%     192.989us       5.361us            36
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     183.867us         0.01%     183.867us       5.107us            36
                                            aten::index         0.08%       1.442ms         0.29%       5.539ms      76.927us     159.711us         0.01%     228.925us       3.180us            72
                                     aten::index_select         0.03%     500.968us         0.05%     996.429us      14.235us     158.205us         0.01%     158.205us       2.260us            70
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     158.205us         0.01%     158.205us       4.520us            35
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_sli...         0.00%       0.000us         0.00%       0.000us       0.000us     153.251us         0.01%     153.251us       4.257us            36
triton_red_fused__to_copy_add_mean_min_latency_fused...         0.00%       0.000us         0.00%       0.000us       0.000us     148.514us         0.01%     148.514us       4.243us            35
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     125.279us         0.01%     125.279us       3.480us            36
