-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                   execute_context_0(0)_generation_8(8)         0.00%       0.000us         0.00%       0.000us       0.000us        1.475s        78.58%        1.475s     264.357us          5580
## Call CompiledFxGraph fitnvo7pzj7dgwftkn4olvytd6ly...         0.00%       0.000us         0.00%       0.000us       0.000us        1.206s        64.22%        1.206s      10.217ms           118
                execute_context_1(7993)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us     660.657ms        35.19%     660.657ms     660.657ms             1
                execute_context_2(7994)_generation_6(6)         0.00%       0.000us         0.00%       0.000us       0.000us     660.080ms        35.16%     660.080ms     660.080ms             1
                               vllm::moe_forward_shared         3.67%      69.669ms        27.25%     516.716ms       4.306ms     561.263ms        29.90%        1.205s      10.039ms           120
ncclDevKernel_Reduce_Sum_bf16_RING_LL(ncclDevKernelA...         0.00%       0.000us         0.00%       0.000us       0.000us     504.972ms        26.90%     504.972ms       4.208ms           120
                          _moe_C::moe_wna16_marlin_gemm         0.23%       4.300ms         2.61%      49.575ms     206.564us     294.543ms        15.69%     351.229ms       1.463ms           240
void marlin_moe_wna16::Marlin<1125899906909960l, 112...         0.00%       0.000us         0.00%       0.000us       0.000us     294.543ms        15.69%     294.543ms       1.227ms           240
                                    Command Buffer Full        22.40%     424.713ms        22.41%     424.814ms     663.773us     230.143ms        12.26%     230.143ms     359.598us           640
                                               aten::mm         1.12%      21.207ms         1.52%      28.834ms      32.507us     127.598ms         6.80%     127.598ms     143.853us           887
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     115.752ms         6.17%     115.752ms      27.547us          4202
void marlin_moe_wna16::Marlin<1125899906909960l, 112...         0.00%       0.000us         0.00%       0.000us       0.000us     107.005ms         5.70%     107.005ms      26.447us          4046
                   execute_context_0(0)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us     106.621ms         5.68%     106.621ms     296.170us           360
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      73.853ms         3.93%      73.853ms      34.902us          2116
ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDev...         0.00%       0.000us         0.00%       0.000us       0.000us      68.667ms         3.66%      68.667ms      33.943us          2023
                                       vllm::all_reduce         0.40%       7.494ms         1.60%      30.412ms     191.271us      67.681ms         3.61%      96.895ms     609.401us           159
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      67.681ms         3.61%      67.681ms     537.149us           126
