-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                   execute_context_0(0)_generation_8(8)         0.00%       0.000us         0.00%       0.000us       0.000us        1.510s        79.84%        1.510s     268.253us          5628
## Call CompiledFxGraph f4svsbgvjfw32475nip4xdxccqhg...         0.00%       0.000us         0.00%       0.000us       0.000us        1.294s        68.43%        1.294s       5.483ms           236
                               vllm::moe_forward_shared         2.92%      82.443ms         6.33%     178.831ms       1.490ms     900.358ms        47.61%        1.294s      10.786ms           120
                   execute_context_0(0)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us     714.008ms        37.76%     714.008ms       3.945ms           181
                   execute_context_0(0)_generation_6(6)         0.00%       0.000us         0.00%       0.000us       0.000us     660.083ms        34.91%     660.083ms     660.083ms             1
ncclDevKernel_Reduce_Sum_bf16_RING_LL(ncclDevKernelA...         0.00%       0.000us         0.00%       0.000us       0.000us     534.173ms        28.25%     534.173ms       4.451ms           120
ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     366.185ms        19.37%     366.185ms       3.052ms           120
                          _moe_C::moe_wna16_marlin_gemm         0.15%       4.332ms         0.36%      10.176ms      42.399us     279.756ms        14.79%     279.756ms       1.166ms           240
void marlin_moe_wna16::Marlin<1125899906909960l, 112...         0.00%       0.000us         0.00%       0.000us       0.000us     279.756ms        14.79%     279.756ms       1.166ms           240
void marlin_moe_wna16::Marlin<1125899906909960l, 112...         0.00%       0.000us         0.00%       0.000us       0.000us     100.851ms         5.33%     100.851ms      24.926us          4046
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      91.202ms         4.82%      91.202ms      21.704us          4202
ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDev...         0.00%       0.000us         0.00%       0.000us       0.000us      76.525ms         4.05%      76.525ms      37.827us          2023
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      75.529ms         3.99%      75.529ms      34.694us          2177
                      nvjet_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      55.483ms         2.93%      55.483ms       8.540us          6497
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      50.490ms         2.67%      50.490ms      23.560us          2143
              nvjet_tst_128x8_64x12_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      39.228ms         2.07%      39.228ms      18.305us          2143
