-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                   execute_context_0(0)_generation_8(8)         0.00%       0.000us         0.00%       0.000us       0.000us        1.533s        81.04%        1.533s     266.118us          5760
## Call CompiledFxGraph fd363jouobowifxg2tcqromadfig...         0.00%       0.000us         0.00%       0.000us       0.000us        1.294s        68.41%        1.294s       5.483ms           236
                               vllm::moe_forward_shared         4.30%      81.526ms         9.37%     177.532ms       1.479ms     909.659ms        48.09%        1.306s      10.882ms           120
                   execute_context_0(0)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us     713.985ms        37.75%     713.985ms       3.945ms           181
                   execute_context_0(0)_generation_6(6)         0.00%       0.000us         0.00%       0.000us       0.000us     660.083ms        34.90%     660.083ms     660.083ms             1
ncclDevKernel_Reduce_Sum_bf16_RING_LL(ncclDevKernelA...         0.00%       0.000us         0.00%       0.000us       0.000us     535.436ms        28.31%     535.436ms       4.462ms           120
ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     374.223ms        19.78%     374.223ms       3.119ms           120
                          _moe_C::moe_wna16_marlin_gemm         0.23%       4.321ms         0.54%      10.148ms      42.283us     281.787ms        14.90%     281.787ms       1.174ms           240
void marlin_moe_wna16::Marlin<1125899906909960l, 112...         0.00%       0.000us         0.00%       0.000us       0.000us     281.787ms        14.90%     281.787ms       1.174ms           240
void marlin_moe_wna16::Marlin<1125899906909960l, 112...         0.00%       0.000us         0.00%       0.000us       0.000us     109.023ms         5.76%     109.023ms      26.946us          4046
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      80.113ms         4.24%      80.113ms      19.065us          4202
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      75.760ms         4.01%      75.760ms      34.800us          2177
ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDev...         0.00%       0.000us         0.00%       0.000us       0.000us      68.324ms         3.61%      68.324ms      33.774us          2023
                      nvjet_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      55.178ms         2.92%      55.178ms       8.492us          6498
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      50.708ms         2.68%      50.708ms      23.662us          2143
                                              aten::sum         0.08%       1.443ms         0.11%       2.005ms      16.705us      39.277ms         2.08%      39.277ms     327.304us           120
              nvjet_tst_128x8_64x12_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      39.229ms         2.07%      39.229ms      18.306us          2143
