model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
moonshotai/Kimi-K2.5,4000,500,0,16,0.657,16,16,1212.964,46.272,24302.443,0.657,0.041,327.615,20.476,21.612,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,135.802,0.032,1.0,15.0,4015.0,4000,15.0,vllm,0.12.0,h200_sxm,0.0,20.476
moonshotai/Kimi-K2.5,4000,500,0,15,0.586,15,15,1304.787,48.51,25511.337,0.586,0.037,292.211,18.263,20.614,16,16,1,1,1,16,tp16pp1dp1etp1ep16,float16,float16,float16,float16,half,135.344,0.03,1.0,14.0,4014.0,4000,14.0,vllm,0.12.0,h200_sxm,0.0,18.263
moonshotai/Kimi-K2.5,4000,500,0,16,0.694,16,16,1132.676,43.788,22982.989,0.694,0.022,346.452,10.827,22.837,32,32,1,1,32,1,tp32pp1dp1etp32ep1,float16,float16,float16,float16,half,71.361,0.032,1.0,15.0,4015.0,4000,15.0,vllm,0.12.0,h200_sxm,0.0,10.827
moonshotai/Kimi-K2.5,4000,500,0,16,0.629,16,16,1246.528,48.302,25349.193,0.629,0.02,314.118,9.816,20.703,32,32,1,1,1,32,tp32pp1dp1etp1ep32,float16,float16,float16,float16,half,71.361,0.032,1.0,15.0,4015.0,4000,15.0,vllm,0.12.0,h200_sxm,0.0,9.816
moonshotai/Kimi-K2.5,4000,500,0,16,0.603,8,16,1967.168,48.117,25977.571,0.603,0.019,300.862,9.402,20.783,32,16,1,2,32,1,tp16pp1dp2etp32ep1,float16,float16,float16,float16,half,72.089,0.016,1.0,7.0,4007.0,4000,7.0,vllm,0.12.0,h200_sxm,0.0,9.402
