-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
              nvjet_tst_128x72_64x8_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     534.497us         0.06%     534.497us      21.380us            25
                         symm_mem::multimem_all_reduce_         0.02%     128.724us         0.03%     237.904us       9.516us     491.099us         0.06%     491.099us      19.644us            25
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     251.991us         0.03%     251.991us       1.440us           175
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     212.094us         0.02%     212.094us       2.059us           103
                                            aten::fill_         0.08%     670.290us         0.19%       1.599ms       7.106us     156.708us         0.02%     156.708us       0.696us           225
                                            aten::index         0.11%     970.224us         0.25%       2.171ms      43.427us     121.601us         0.01%     169.730us       3.395us            50
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     119.425us         0.01%     119.425us       4.593us            26
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     105.091us         0.01%     105.091us       2.061us            51
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      98.942us         0.01%      98.942us       3.805us            26
                                 aten::_index_put_impl_         0.04%     381.079us         0.14%       1.235ms      49.405us      95.038us         0.01%     210.172us       8.407us            25
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2         0.00%       0.000us         0.00%       0.000us       0.000us      83.138us         0.01%      83.138us       3.198us            26
                                     aten::masked_fill_         0.02%     181.964us         0.04%     331.745us      13.270us      82.694us         0.01%      82.694us       3.308us            25
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      82.694us         0.01%      82.694us       3.308us            25
                                    cudaStreamWaitEvent         0.01%      75.563us         0.01%      75.563us       1.008us      80.736us         0.01%      80.736us       1.076us            75
                                              aten::add         0.05%     409.092us         0.07%     606.218us       8.083us      78.656us         0.01%      78.656us       1.049us            75
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us      75.389us         0.01%      75.389us       3.016us            25
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      72.350us         0.01%      72.350us       2.894us            25
triton_red_fused__to_copy_add_clone_mean_min_latency...         0.00%       0.000us         0.00%       0.000us       0.000us      72.035us         0.01%      72.035us       2.881us            25
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      69.119us         0.01%      69.119us       2.765us            25
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      59.489us         0.01%      59.489us       1.190us            50
                                           aten::gather         0.03%     297.670us         0.05%     456.636us      18.265us      50.337us         0.01%      50.337us       2.013us            25
triton_poi_fused_add_clone_copy_expand_index_mul_neg...         0.00%       0.000us         0.00%       0.000us       0.000us      49.984us         0.01%      49.984us       1.999us            25
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      49.663us         0.01%      49.663us       0.993us            50
                    _vllm_fa3_C::get_scheduler_metadata         0.03%     288.302us         0.06%     514.897us      20.596us      48.548us         0.01%      48.548us       1.942us            25
void flash::prepare_varlen_num_blocks_kernel<4, fals...         0.00%       0.000us         0.00%       0.000us       0.000us      48.548us         0.01%      48.548us       1.942us            25
                                     triton_red_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us      48.353us         0.01%      48.353us       1.934us            25
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      47.556us         0.01%      47.556us       0.951us            50
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      43.648us         0.01%      43.648us       1.746us            25
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      43.554us         0.01%      43.554us       1.675us            26
                                     triton_poi_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us      41.636us         0.00%      41.636us       1.665us            25
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      35.008us         0.00%      35.008us       1.400us            25
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise...         0.05%     392.497us         0.07%     556.727us      22.269us      34.462us         0.00%      34.462us       1.378us            25
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise...         0.00%       0.000us         0.00%       0.000us       0.000us      34.462us         0.00%      34.462us       1.378us            25
