section,category,wall_ms,share_of_residual,value
summary,mixed_wall_ms,126677.57309674946,,126677.57309674946
summary,sim_only_wall_ms,64994.18716942752,,64994.18716942752
summary,sim_only_wall_share,,,0.5130678270871868
summary,recompute_sim_only_wall_ms,41302.5725109895,,41302.5725109895
summary,recompute_sim_only_wall_share,,,0.6354810223769939
summary,non_recompute_sim_only_wall_ms,23691.614658438022,,23691.614658438022
summary,non_recompute_sim_only_wall_share,,,0.3645189776230061
summary,non_recompute_total_mixed_wall_share,,,0.18702295978107863
chunk_composition,continued_complete,180.00998690479094,0.007598046376323213,
chunk_composition,continued_complete+fresh_complete,7389.678864569649,0.3119111538452165,
chunk_composition,continued_complete+fresh_complete+fresh_partial,13806.847423840152,0.582773594070875,
chunk_composition,fresh_complete,587.6176026680097,0.024802767187449733,
chunk_composition,fresh_complete+fresh_partial,1727.4607804554194,0.07291443852013546,
serving_coverage,all_miss,23691.614658438022,1.0,
new_admit_count,0,180.00998690479094,0.007598046376323213,
new_admit_count,1,1493.1162431368396,0.06302298364476606,
new_admit_count,2,587.6176026680097,0.024802767187449733,
new_admit_count,3,904.1543202161798,0.038163474007633987,
new_admit_count,5,2255.626375567139,0.09520779432244283,
new_admit_count,6,2736.78192564949,0.11551690187037361,
new_admit_count,8,13806.847423840152,0.582773594070875,
new_admit_count,9,1727.4607804554194,0.07291443852013546,
cadence_streak_length,1,3304.1465924698246,0.13946481234418598,
cadence_streak_length,2,13841.933341687394,0.5842545365204749,
cadence_streak_length,4,6545.534724280801,0.2762806511353391,
serving_miss_reason_overlap,table_missing,23691.614658438022,1.0,
