file,line,axis,axis_count,direction,axis_value,left_axis,left_latency_ms,actual_latency_ms,right_axis,right_latency_ms,expected_latency_ms,deviation_ratio,active_six_scope,gpu_disposition,shape,semantic_key
generation_mla_perf.txt,725,batch_size,2,spike,2,1,0.04722133278846741,0.9204853375752767,4,0.03401600072781245,0.04281955543491575,21.496844799670626,false,out_of_active_six_scope,heads=32;batch=2;seq=32,"{""device"":""NVIDIA H200"",""effective_seq"":""32"",""framework"":""VLLM"",""isl"":""1"",""kernel_source"":""vllm_flashmla"",""kv_cache_dtype"":""fp8"",""mla_dtype"":""float16"",""num_heads"":""32"",""op_name"":""generation_mla"",""step"":""31"",""tp_size"":""4"",""version"":""0.19.0""}"
moe_perf.txt,14751,num_tokens,1,spike,4,2,0.16144959926605223,3.481516647338867,8,0.16493120193481445,0.16261013348897296,21.410207178600945,false,out_of_active_six_scope,dtype=fp8;tokens=4;hidden=4096;inter=2688;topk=22;ep=32,"{""device"":""NVIDIA H200"",""distribution"":""power_law_1.2"",""framework"":""VLLM"",""hidden_size"":""4096"",""inter_size"":""2688"",""kernel_source"":""vllm_fused_moe"",""moe_dtype"":""fp8"",""moe_ep_size"":""32"",""moe_tp_size"":""1"",""num_experts"":""512"",""op_name"":""moe"",""topk"":""22"",""version"":""0.19.0""}"
generation_mla_perf.txt,725,effective_seq,2,spike,32,16,0.04826133449872335,0.9204853375752767,64,0.04731200138727824,0.04794489012824164,19.198820460599418,false,out_of_active_six_scope,heads=32;batch=2;seq=32,"{""batch_size"":""2"",""device"":""NVIDIA H200"",""framework"":""VLLM"",""kernel_source"":""vllm_flashmla"",""kv_cache_dtype"":""fp8"",""mla_dtype"":""float16"",""num_heads"":""32"",""op_name"":""generation_mla"",""tp_size"":""4"",""version"":""0.19.0""}"
generation_mla_perf.txt,1350,effective_seq,2,spike,256,128,0.04726399978001913,0.9616533120473226,512,0.05643733342488607,0.05032177766164144,19.110082289091267,false,out_of_active_six_scope,heads=128;batch=128;seq=256,"{""batch_size"":""128"",""device"":""NVIDIA H200"",""framework"":""VLLM"",""kernel_source"":""vllm_flashmla"",""kv_cache_dtype"":""fp8"",""mla_dtype"":""float16"",""num_heads"":""128"",""op_name"":""generation_mla"",""tp_size"":""1"",""version"":""0.19.0""}"
context_mla_perf.txt,74,batch_size,1,spike,16,8,0.0447626660267512,0.8776533603668213,32,0.04868266483147939,0.04606933229499393,19.050707198163376,false,out_of_active_six_scope,heads=4;batch=16;seq=1,"{""device"":""NVIDIA H200"",""framework"":""VLLM"",""isl"":""1"",""kernel_source"":""vllm_flashmla"",""kv_cache_dtype"":""fp8"",""mla_dtype"":""float16"",""num_heads"":""4"",""op_name"":""context_mla"",""step"":""0"",""tp_size"":""32"",""version"":""0.19.0""}"
context_mla_perf.txt,330,batch_size,2,spike,4,2,0.050767997900644936,0.9499093691507975,8,0.050426666935284935,0.0506542209121916,18.752817673327804,false,out_of_active_six_scope,heads=4;batch=4;seq=32,"{""device"":""NVIDIA H200"",""framework"":""VLLM"",""isl"":""32"",""kernel_source"":""vllm_flashmla"",""kv_cache_dtype"":""fp8"",""mla_dtype"":""float16"",""num_heads"":""4"",""op_name"":""context_mla"",""step"":""0"",""tp_size"":""32"",""version"":""0.19.0""}"
context_mla_perf.txt,330,isl,2,spike,32,16,0.0517439991235733,0.9499093691507975,64,0.04872000217437744,0.05073600014050802,18.722590793916023,false,out_of_active_six_scope,heads=4;batch=4;seq=32,"{""batch_size"":""4"",""device"":""NVIDIA H200"",""framework"":""VLLM"",""kernel_source"":""vllm_flashmla"",""kv_cache_dtype"":""fp8"",""mla_dtype"":""float16"",""num_heads"":""4"",""op_name"":""context_mla"",""step"":""0"",""tp_size"":""32"",""version"":""0.19.0""}"
generation_mla_perf.txt,1181,batch_size,2,spike,128,64,0.05050133168697357,0.9333546956380209,256,0.056789333621660866,0.052597332331869334,17.745285820750464,false,out_of_active_six_scope,heads=2;batch=128;seq=128,"{""device"":""NVIDIA H200"",""effective_seq"":""128"",""framework"":""VLLM"",""isl"":""1"",""kernel_source"":""vllm_flash_attn_mla"",""kv_cache_dtype"":""float16"",""mla_dtype"":""float16"",""num_heads"":""2"",""op_name"":""generation_mla"",""step"":""127"",""tp_size"":""64"",""version"":""0.19.0""}"
context_mla_perf.txt,312,isl,2,spike,32,16,0.05268266797065735,0.9344106515248617,64,0.055125330885251365,0.05349688894218869,17.466635350228138,true,gpu_batch_candidate_review,heads=8;batch=2;seq=32,"{""batch_size"":""2"",""device"":""NVIDIA H200"",""framework"":""VLLM"",""kernel_source"":""vllm_flash_attn_mla"",""kv_cache_dtype"":""float16"",""mla_dtype"":""float16"",""num_heads"":""8"",""op_name"":""context_mla"",""step"":""0"",""tp_size"":""16"",""version"":""0.19.0""}"
context_mla_perf.txt,239,batch_size,2,spike,32,16,0.054287999868392944,1.1737120151519775,64,0.0958079993724823,0.0681279997030894,17.228041631446185,false,out_of_active_six_scope,heads=1;batch=32;seq=16,"{""device"":""NVIDIA H200"",""framework"":""VLLM"",""isl"":""16"",""kernel_source"":""vllm_flash_attn_mla"",""kv_cache_dtype"":""float16"",""mla_dtype"":""float16"",""num_heads"":""1"",""op_name"":""context_mla"",""step"":""0"",""tp_size"":""128"",""version"":""0.19.0""}"
