source,phase368_artifact_dir,source_sha,ok,worker,vllm_version,source_root,model_path,measurement_boundary,runner_boundary_api,bucket_tokens,hidden_size,intermediate_size,num_experts,top_k,dtype,quant_method_config,quant_runtime,runtime_dispatch_scope,kernel_source_metadata,latency_ms_median,output_shape,output_all_finite,cleanup,gpu_process_residue,failure_reason,result_interpretation,curve_fit_allowed,interpolation_allowed,extrapolation_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase369_fusedmoe_runner_shape_sweep_result,/mnt/shared-storage-user/ailab-sys/zhaojieyu/aic/phase368_fusedmoe_runner_minimal_shape_sweep_6e45508,6e455084ee77330e34140df2e55b6071b4b3bc1e,true,worker-gn6kz,0.19.0,/usr/local/lib/python3.12/dist-packages/vllm,/mnt/shared-storage-gpfs2/gpfs2-shared-public/huggingface/zskj-hub/models--moonshotai--Kimi-K2.5,fusedmoe_forward_runner_level,FusedMoE.forward(),1,7168,2048,384,8,bfloat16,compressed-tensors,CompressedTensorsWNA16MarlinMoEMethod,fixed_model_config_hw_vllm_version_tuple,CompressedTensorsWNA16MarlinMoEMethod:Marlin,0.187888,1x7168,true,true,false,,diagnostic_fusedmoe_runner_shape_sweep_not_perfdb_curve,false,false,false,No-Go,true,false,false
phase369_fusedmoe_runner_shape_sweep_result,/mnt/shared-storage-user/ailab-sys/zhaojieyu/aic/phase368_fusedmoe_runner_minimal_shape_sweep_6e45508,6e455084ee77330e34140df2e55b6071b4b3bc1e,true,worker-gn6kz,0.19.0,/usr/local/lib/python3.12/dist-packages/vllm,/mnt/shared-storage-gpfs2/gpfs2-shared-public/huggingface/zskj-hub/models--moonshotai--Kimi-K2.5,fusedmoe_forward_runner_level,FusedMoE.forward(),15,7168,2048,384,8,bfloat16,compressed-tensors,CompressedTensorsWNA16MarlinMoEMethod,fixed_model_config_hw_vllm_version_tuple,CompressedTensorsWNA16MarlinMoEMethod:Marlin,0.242813,15x7168,true,true,false,,diagnostic_fusedmoe_runner_shape_sweep_not_perfdb_curve,false,false,false,No-Go,true,false,false
phase369_fusedmoe_runner_shape_sweep_result,/mnt/shared-storage-user/ailab-sys/zhaojieyu/aic/phase368_fusedmoe_runner_minimal_shape_sweep_6e45508,6e455084ee77330e34140df2e55b6071b4b3bc1e,true,worker-gn6kz,0.19.0,/usr/local/lib/python3.12/dist-packages/vllm,/mnt/shared-storage-gpfs2/gpfs2-shared-public/huggingface/zskj-hub/models--moonshotai--Kimi-K2.5,fusedmoe_forward_runner_level,FusedMoE.forward(),16,7168,2048,384,8,bfloat16,compressed-tensors,CompressedTensorsWNA16MarlinMoEMethod,fixed_model_config_hw_vllm_version_tuple,CompressedTensorsWNA16MarlinMoEMethod:Marlin,0.239764,16x7168,true,true,false,,diagnostic_fusedmoe_runner_shape_sweep_not_perfdb_curve,false,false,false,No-Go,true,false,false
phase369_fusedmoe_runner_shape_sweep_result,/mnt/shared-storage-user/ailab-sys/zhaojieyu/aic/phase368_fusedmoe_runner_minimal_shape_sweep_6e45508,6e455084ee77330e34140df2e55b6071b4b3bc1e,true,worker-gn6kz,0.19.0,/usr/local/lib/python3.12/dist-packages/vllm,/mnt/shared-storage-gpfs2/gpfs2-shared-public/huggingface/zskj-hub/models--moonshotai--Kimi-K2.5,fusedmoe_forward_runner_level,FusedMoE.forward(),241,7168,2048,384,8,bfloat16,compressed-tensors,CompressedTensorsWNA16MarlinMoEMethod,fixed_model_config_hw_vllm_version_tuple,CompressedTensorsWNA16MarlinMoEMethod:Marlin,1.889204,241x7168,true,true,false,,diagnostic_fusedmoe_runner_shape_sweep_not_perfdb_curve,false,false,false,No-Go,true,false,false
phase369_fusedmoe_runner_shape_sweep_result,/mnt/shared-storage-user/ailab-sys/zhaojieyu/aic/phase368_fusedmoe_runner_minimal_shape_sweep_6e45508,6e455084ee77330e34140df2e55b6071b4b3bc1e,true,worker-gn6kz,0.19.0,/usr/local/lib/python3.12/dist-packages/vllm,/mnt/shared-storage-gpfs2/gpfs2-shared-public/huggingface/zskj-hub/models--moonshotai--Kimi-K2.5,fusedmoe_forward_runner_level,FusedMoE.forward(),1808,7168,2048,384,8,bfloat16,compressed-tensors,CompressedTensorsWNA16MarlinMoEMethod,fixed_model_config_hw_vllm_version_tuple,CompressedTensorsWNA16MarlinMoEMethod:Marlin,4.729947,1808x7168,true,true,false,,diagnostic_fusedmoe_runner_shape_sweep_not_perfdb_curve,false,false,false,No-Go,true,false,false
phase369_fusedmoe_runner_shape_sweep_result,/mnt/shared-storage-user/ailab-sys/zhaojieyu/aic/phase368_fusedmoe_runner_minimal_shape_sweep_6e45508,6e455084ee77330e34140df2e55b6071b4b3bc1e,true,worker-gn6kz,0.19.0,/usr/local/lib/python3.12/dist-packages/vllm,/mnt/shared-storage-gpfs2/gpfs2-shared-public/huggingface/zskj-hub/models--moonshotai--Kimi-K2.5,fusedmoe_forward_runner_level,FusedMoE.forward(),2048,7168,2048,384,8,bfloat16,compressed-tensors,CompressedTensorsWNA16MarlinMoEMethod,fixed_model_config_hw_vllm_version_tuple,CompressedTensorsWNA16MarlinMoEMethod:Marlin,5.344776,2048x7168,true,true,false,,diagnostic_fusedmoe_runner_shape_sweep_not_perfdb_curve,false,false,false,No-Go,true,false,false
phase369_fusedmoe_runner_shape_sweep_result,/mnt/shared-storage-user/ailab-sys/zhaojieyu/aic/phase368_fusedmoe_runner_minimal_shape_sweep_6e45508,6e455084ee77330e34140df2e55b6071b4b3bc1e,true,worker-gn6kz,0.19.0,/usr/local/lib/python3.12/dist-packages/vllm,/mnt/shared-storage-gpfs2/gpfs2-shared-public/huggingface/zskj-hub/models--moonshotai--Kimi-K2.5,fusedmoe_forward_runner_level,FusedMoE.forward(),8192,7168,2048,384,8,bfloat16,compressed-tensors,CompressedTensorsWNA16MarlinMoEMethod,fixed_model_config_hw_vllm_version_tuple,CompressedTensorsWNA16MarlinMoEMethod:Marlin,20.612520,8192x7168,true,true,false,,diagnostic_fusedmoe_runner_shape_sweep_not_perfdb_curve,false,false,false,No-Go,true,false,false
