source,scenario,phase,row_kind,category,bucket_tokens,decode_batch,latency_ms,sample_count,peer_phase,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,provenance,valid_for_default,default_readiness
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,25,25,24.80851173400879,8,peer_decode,24.80851173400879,24.822208404541016,24.793792724609375,24.82326316833496,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,26,26,24.805472373962402,8,peer_decode,24.805472373962402,24.819072723388672,24.78985595703125,24.819551467895508,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,27,27,25.33668804168701,8,peer_decode,25.33668804168701,25.341312408447266,25.328096389770508,25.343040466308594,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,28,28,28.469792366027832,8,peer_decode,28.469792366027832,28.47964859008789,28.45756721496582,28.47977638244629,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,29,29,28.374367713928223,8,peer_decode,28.374367713928223,28.38377571105957,28.358783721923828,28.384511947631836,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,30,30,28.128432273864746,8,peer_decode,28.128432273864746,28.135103225708008,28.116416931152344,28.135711669921875,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,31,31,25.64465618133545,8,peer_decode,25.64465618133545,25.65670394897461,25.631423950195312,25.658239364624023,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,32,32,25.25124740600586,8,peer_decode,25.25124740600586,25.274560928344727,25.220447540283203,25.277023315429688,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,33,33,29.418607711791992,8,peer_decode,29.418607711791992,29.43084716796875,29.407968521118164,29.431072235107422,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,34,34,32.19816017150879,8,peer_decode,32.19816017150879,32.212608337402344,32.18377685546875,32.214111328125,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,35,35,32.10854530334473,8,peer_decode,32.10854530334473,32.12956619262695,32.087615966796875,32.13119888305664,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,36,36,31.968928337097168,8,peer_decode,31.968928337097168,31.997312545776367,31.940383911132812,31.997663497924805,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,37,37,31.9976167678833,8,peer_decode,31.9976167678833,32.01532745361328,31.975872039794922,32.01753616333008,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
