name,tp,dp,ep,max_bt,isl,osl,measured_output_tok_s_gpu,frozen_baseline_output_tok_s_gpu,sim012_output_tok_s_gpu,sim019_output_tok_s_gpu,err_sim012_vs_measured,err_sim019_vs_measured,sim019_vs_sim012_ratio,sim012_ttft_ms,sim019_ttft_ms,sim012_tpot_ms,sim019_tpot_ms
K2.5-tp8ep8-8k2k,8,1,8,8000,8000,2000,431.6794,133.528,227.8171,282.8151,1.8949,1.5264,1.2414,383.95,369.85,71.545,57.899
K2.5-tp8ep8-32k3k,8,1,8,32000,32000,3000,198.6331,52.4691,127.6356,111.966,1.5563,1.774,0.8772,1046.96,1099.2,129.062,146.483
K2.5-tp4ep8dp2-8k2k,4,2,8,8000,8000,2000,345.4093,137.716,244.7868,385.0564,1.4111,1.1148,1.573,482.56,486.8,65.808,42.093
K2.5-tp4ep8dp2-32k3k,4,2,8,32000,32000,3000,171.4838,53.2774,105.652,185.1596,1.6231,1.0798,1.7525,1755.38,1710.08,152.672,87.828
K2.5-tp8ep8-8k2k-bt65536,8,1,8,65536,8000,2000,432.1915,138.47,226.2605,280.3914,1.9102,1.5414,1.2392,1092.72,1143.12,72.032,58.456
K2.5-tp4ep8dp2-8k2k-bt65536,4,2,8,65536,8000,2000,216.6403,155.952,241.9043,384.1616,1.1166,1.7733,1.5881,1746.15,1712.09,66.005,41.523
