source,scenario,kv_cache_tokens,block_size,num_gpu_blocks,capacity_scope,serve_log_line_numbers,override_num_gpu_blocks,override_line_numbers,phase397z_sim_output_tok_s_gpu,phase397z_error_ratio,phase397z_avg_decode_reqs_per_iter,phase398_validation_sim_output_tok_s_gpu,phase398_validation_error_ratio,phase398_validation_avg_decode_reqs_per_iter,phase398_budget_sim_output_tok_s_gpu,phase398_budget_error_ratio,phase398_budget_avg_decode_reqs_per_iter,verdict,gpu_allowed,ssh_allowed,diagnostic_only,valid_for_default,perf_database,default_readiness
phase398_kv_capacity_fix,K2.5-tp8ep8-8k2k,760160,16,47510,per_engine,202,512,161;163;165;167;168;171;173;175,283.919323,2.126291,125.181996,84.948739,1.571866,76.114626,84.948739,1.571866,76.114626,capacity_active_but_under_predicts,false,false,true,false,false,No-Go
phase398_kv_capacity_fix,K2.5-tp8ep8-32k3k,675216,16,42201,per_engine,195,512,154;156;158;159;162;163;166;168,108.436758,2.066677,126.135378,4.487577,11.692087,18.273238,4.487577,11.692087,18.273238,capacity_over_restricts_long_context,false,false,true,false,false,No-Go
phase398_kv_capacity_fix,K2.5-tp4ep8dp2-8k2k,672128,16,42008,per_engine,210;213,512,170;172;174;175;176;180;182;184,384.886637,2.794785,63.602287,384.886637,2.794785,63.602287,384.886637,2.794785,63.602287,capacity_not_binding_still_over_predicts,false,false,true,false,false,No-Go
phase398_kv_capacity_fix,K2.5-tp4ep8dp2-32k3k,320800,16,20050,per_engine,204;212,512,165;167;168;169;173;174;177;179,174.757086,3.280134,63.734352,2.522566,21.120332,7.997111,2.522566,21.120332,7.997111,capacity_over_restricts_long_context,false,false,true,false,false,No-Go
phase398_kv_capacity_fix,K2.5-tp8ep8-8k2k-bt65536,343552,16,21472,per_engine,195,512,154;155;156;160;161;164;166;167,286.152131,2.066528,127.616958,37.304832,3.711852,34.812517,5.409926,25.595543,31.473861,capacity_over_restricts_bt65536_budget,false,false,true,false,false,No-Go
phase398_kv_capacity_fix,K2.5-tp4ep8dp2-8k2k-bt65536,25744,16,1609,per_engine,200;210,256,163;165;167;169;171;173;175;177,386.549180,2.478642,63.930707,2.572480,60.623215,1.623334,0.000000,inf,0.000000,capacity_breaks_bt65536_budget_steady_state,false,false,true,false,false,No-Go
