tokens_actual,occurrence_count,phase117_exact_key_covered,phase125_action,valid_for_time_gate,valid_for_default,perf_database,notes
1,6960,false,needs_exact_shape_evidence,false,false,false,no_interpolation_or_extrapolation
15,240,false,needs_exact_shape_evidence,false,false,false,no_interpolation_or_extrapolation
16,959280,false,needs_exact_shape_evidence,false,false,false,no_interpolation_or_extrapolation
241,240,false,needs_exact_shape_evidence,false,false,false,no_interpolation_or_extrapolation
1808,240,false,needs_exact_shape_evidence,false,false,false,no_interpolation_or_extrapolation
2048,240,false,needs_exact_shape_evidence,false,false,false,no_interpolation_or_extrapolation
8192,480,false,needs_exact_shape_evidence,false,false,false,no_interpolation_or_extrapolation
