source,pair_key,topology_key,shape_key,control_scenario,holdout_scenario,output_ratio,mixed_count_delta,mixed_p99_delta,mixed_max_delta,pure_decode_p99_max_invariant,budget_ceiling_not_linear,verdict,next_mechanism,default_readiness,diagnostic_only,valid_for_default,perf_database
phase267_mixed_phase_partial_audit,tp8_dp1_ep8:isl4000_osl2000_batch128:control_bt4000:holdout_bt65536,tp8_dp1_ep8,isl4000_osl2000_batch128,tp8ep8-4k2k-bt4000,tp8ep8-4k2k-bt65536,0.989048,1,-480.000000,-480,true,true,partial,boundary_timeline_diagnostic,No-Go,true,false,false
phase267_mixed_phase_partial_audit,tp4_dp2_ep8:isl4000_osl2000_batch128:control_bt4000:holdout_bt65536,tp4_dp2_ep8,isl4000_osl2000_batch128,tp4dp2ep8-4k2k-bt4000,tp4dp2ep8-4k2k-bt65536,1.095889,-1,0.000000,0,true,true,explains,boundary_timeline_diagnostic,No-Go,true,false,false
phase267_mixed_phase_partial_audit,tp8_dp1_ep8:isl12000_osl2000_batch128:control_bt12000:holdout_bt65536,tp8_dp1_ep8,isl12000_osl2000_batch128,tp8ep8-12k2k-bt12000,tp8ep8-12k2k-bt65536,0.967741,-1,224.000000,224,true,true,partial,boundary_timeline_diagnostic,No-Go,true,false,false
phase267_mixed_phase_partial_audit,tp4_dp2_ep8:isl12000_osl2000_batch128:control_bt12000:holdout_bt65536,tp4_dp2_ep8,isl12000_osl2000_batch128,tp4dp2ep8-12k2k-bt12000,tp4dp2ep8-12k2k-bt65536,1.339504,0,570.000000,570,true,true,does_not_explain,boundary_timeline_diagnostic,No-Go,true,false,false
