name,tp,dp,ep,max_bt,baseline_real_output_tok_s_gpu,baseline_sim_output_tok_s_gpu,baseline_error_ratio,current_real_output_tok_s_gpu,current_sim_output_tok_s_gpu,current_error_ratio,delta_error_ratio,delta_sim_output_tok_s_gpu,classification,diagnostic_only,valid_for_default,perf_database
K2.5-tp8ep8-8k2k,8,1,8,8000,133.528,192.089213,1.438569,146.6397006101265,166.0729566780424,1.1325238389539776,-0.3060451610460224,-26.0162563219576,improved,True,False,False
K2.5-tp4ep8dp2-8k2k,4,2,8,8000,162.948516,156.483788,1.041312,162.94851622073128,156.48378768131056,1.0413124492652654,4.4926526543420664e-07,-3.1868944461166393e-07,unchanged,True,False,False
K2.5-tp8ep8-8k2k-bt65536,8,1,8,65536,138.47,155.069882,1.119881,124.01698784384152,153.10163554042077,1.234521481308688,0.11464048130868809,-1.968246459579234,regressed,True,False,False
K2.5-tp4ep8dp2-8k2k-bt65536,4,2,8,65536,113.910186,140.521727,1.233619,109.49991052077841,127.76381977640962,1.1667938281298,-0.06682517187019998,-12.75790722359038,improved,True,False,False
K2.5-tp4ep8dp2-32k3k,4,2,8,32000,53.221414,56.281238,1.057492,53.27742857142858,56.28123809782775,1.05638052749434,-0.001111472505660016,9.782775123312604e-08,unchanged,True,False,False
K2.5-tp8ep8-32k3k,8,1,8,32000,52.469143,61.023512,1.163036,50.1115946153076,35.868771096959996,1.3970814466948587,0.23404544669485872,-25.15474090304,regressed,True,False,False
