source,row_type,scenario,ctx_tokens,decode_batch,event_count,confidence,sim_charge_ms,event_forward_busy_median_ms,wall_elapsed_median_ms,busy_minus_sim_ms,wall_minus_busy_ms,busy_gap_share,wall_gap_share,mechanism_candidate,metric,value,note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,24,8,low,19.755854,25.361585,28.065000,5.605731,2.703415,0.674646,0.325354,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,25,8,low,19.978888,24.281168,26.450000,4.302280,2.168832,0.664844,0.335156,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,26,8,low,20.201922,24.587536,27.205000,4.385614,2.617464,0.626241,0.373759,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,27,8,low,20.424956,25.611744,28.445000,5.186788,2.833256,0.646728,0.353272,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,28,8,low,20.663536,28.344417,30.835000,7.680881,2.490583,0.755140,0.244860,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,29,8,low,20.886570,28.174353,31.075000,7.287783,2.900647,0.715300,0.284700,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,30,8,low,21.109604,28.190369,30.645000,7.080765,2.454631,0.742577,0.257423,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,31,8,low,21.332638,25.542736,28.190000,4.210098,2.647264,0.613953,0.386047,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,32,8,low,25.969630,26.078609,28.530000,0.108979,2.451391,0.042564,0.957436,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,33,8,low,26.205732,29.058911,32.165000,2.853179,3.106089,0.478780,0.521220,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,34,8,low,26.441833,32.280367,36.065000,5.838534,3.784633,0.606716,0.393284,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,35,8,low,26.677935,31.811169,34.600000,5.133234,2.788831,0.647967,0.352033,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,36,8,low,32.941201,31.939504,34.310000,-1.001697,2.370496,0.000000,1.000000,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,37,8,low,27.144176,31.675824,34.325000,4.531648,2.649176,0.631076,0.368924,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,38,8,low,27.363233,31.217649,33.880000,3.854416,2.662351,0.591461,0.408539,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,39,8,low,27.582290,30.965233,33.170000,3.382943,2.204767,0.605426,0.394574,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,40,8,low,27.802688,32.706112,35.305000,4.903424,2.598888,0.653588,0.346412,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,41,8,low,28.021745,34.782303,37.790000,6.760558,3.007697,0.692095,0.307905,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,42,8,low,28.240802,35.026272,38.680000,6.785470,3.653728,0.649999,0.350001,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,43,52,low,28.459859,1114.825195,1118.960000,1086.365336,4.134805,0.996208,0.003792,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,44,256,high,28.680258,1072.376648,1077.175000,1043.696390,4.798352,0.995424,0.004576,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,45,664,high,28.899315,37.700081,40.515000,8.800766,2.814919,0.757662,0.242338,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,46,8356,high,29.118372,36.630272,39.400000,7.511900,2.769728,0.730614,0.269386,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,47,8508,high,29.337429,35.943104,38.680000,6.605675,2.736896,0.707051,0.292949,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,48,8108,high,29.557828,35.092720,37.790000,5.534892,2.697280,0.672349,0.327651,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
