name,tp,dp,ep,max_bt,baseline_real_output_tok_s_gpu,baseline_sim_output_tok_s_gpu,baseline_error_ratio,current_real_output_tok_s_gpu,current_sim_output_tok_s_gpu,current_error_ratio,delta_error_ratio,delta_sim_output_tok_s_gpu,classification,diagnostic_only,valid_for_default,perf_database
K2.5-tp8ep8-8k2k,8,1,8,8000,133.528,192.0892127217787,1.4385687849872588,133.528,192.0892127217787,1.4385687849872588,0.0,0.0,unchanged,True,False,False
K2.5-tp4ep8dp2-8k2k,4,2,8,8000,137.716,156.48378768131056,1.1362789195250411,137.716,156.48378768131056,1.1362789195250411,0.0,0.0,unchanged,True,False,False
K2.5-tp8ep8-8k2k-bt65536,8,1,8,65536,138.47,155.06988170267044,1.1198807084759907,138.47,155.06988170267044,1.1198807084759907,0.0,0.0,unchanged,True,False,False
K2.5-tp4ep8dp2-8k2k-bt65536,4,2,8,65536,113.91018618804273,140.52172655779341,1.233618618846083,113.91018618804273,127.76381977640962,1.1216189179560934,-0.11199970088998956,-12.757906781383795,improved,True,False,False
K2.5-tp8ep8-32k3k,8,1,8,32000,52.469142857142856,61.0235123051312,1.1630361957937683,52.469142857142856,61.0235123051312,1.1630361957937683,0.0,0.0,unchanged,True,False,False
K2.5-tp4ep8dp2-32k3k,4,2,8,32000,53.27742857142858,56.28123809782775,1.05638052749434,53.27742857142858,56.28123809782775,1.05638052749434,0.0,0.0,unchanged,True,False,False
