source,scenario,phase,category,bucket_tokens,decode_batch,hit,miss_reason,bucket_min,bucket_max,decode_batch_min,decode_batch_max,count
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,43,43,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,44,44,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,45,45,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,46,46,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,47,47,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,48,48,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,49,49,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,50,50,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,51,51,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,52,52,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,53,53,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,54,54,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,55,55,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,56,56,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,57,57,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,58,58,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,59,59,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,60,60,true,hit,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,61,61,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,62,62,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,63,63,false,interpolation_gap,2,64,2,64,2
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,collective_other,64,64,true,hit,2,64,2,64,3
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,1,1,false,bucket_below_range,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,2,2,true,hit,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,3,3,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,4,4,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,5,5,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,6,6,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,7,7,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,8,8,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,9,9,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,10,10,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,11,11,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,12,12,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,13,13,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,14,14,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,15,15,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,16,16,true,hit,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,17,17,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,18,18,false,interpolation_gap,2,64,2,64,1
