source,row_type,scenario,artifact_dir,component,phase,op_input_tokens,scale_num_tokens,attention_dp_size,scaled_tokens,expected_tokens,token_ratio_actual_expected,query_path,perfdb_table,coverage_min_tokens,coverage_max_tokens,coverage_contains_scaled,coverage_contains_expected,coverage_tokens,db_call_count,db_return_ms,returned_ms,roofline_lower_bound_ms,undercharge_ms,phase414_prefill_gap_ms,phase415_component_gap_ms,corrected_mixed_step_ms,mechanism_verdict,phase417_target,phase405_penalty_read,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase416_moe_charge_trace,query_trace,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,moe_compute,mixed_prefill,32006,4,2,16002,32000,0.500062,phase397v_int4_wo_calibrated_sol,moe_perf_not_used,1,32768,true,true,1;2;4;8;16;32;48;64;80;96;128;160;192;256;320;384;512;768;1024;1536;2048;3072;4096;6144;8192;12288;16384;20480;32768,1,0.864029,52.706517,455.757015,403.050498,1182414.663744,403.050497,,moe_sol_prefill_misapplied_plus_ep_dispatch_fallback_undercharge,split_prefill_moe_charge_and_restore_ep8_alltoall_charge,false,false,false,false,false,false,true,No-Go
phase416_moe_charge_trace,query_trace,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,ep_dispatch_combine,mixed_prefill,32006,4,2,8001,32000,0.250031,fallback_tp_dp_collectives,custom_allreduce+nccl,1,8192,false,false,1;15;16;241;1808;2048;8192,4,2.237865,136.511523,489.335467,352.823944,1182414.663744,352.823944,,moe_sol_prefill_misapplied_plus_ep_dispatch_fallback_undercharge,split_prefill_moe_charge_and_restore_ep8_alltoall_charge,false,false,false,false,false,false,true,No-Go
phase416_moe_charge_trace,query_trace,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,moe_compute,decode,9,4,2,18,18,1.000000,phase397v_int4_wo_calibrated_sol,moe_perf_not_used,1,32768,true,true,1;2;4;8;16;32;48;64;80;96;128;160;192;256;320;384;512;768;1024;1536;2048;3072;4096;6144;8192;12288;16384;20480;32768,1,0.050087,3.055296,0.000000,0.000000,1182414.663744,0.000000,,moe_sol_prefill_misapplied_plus_ep_dispatch_fallback_undercharge,split_prefill_moe_charge_and_restore_ep8_alltoall_charge,false,false,false,false,false,false,true,No-Go
phase416_moe_charge_trace,query_trace,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,ep_dispatch_combine,decode,9,4,2,2,9,0.222222,fallback_tp_dp_collectives,custom_allreduce+nccl,1,8192,false,false,1;15;16;241;1808;2048;8192,4,0.040083,2.445050,0.000000,0.000000,1182414.663744,0.000000,,moe_sol_prefill_misapplied_plus_ep_dispatch_fallback_undercharge,split_prefill_moe_charge_and_restore_ep8_alltoall_charge,false,false,false,false,false,false,true,No-Go
phase416_moe_charge_trace,perfdb_coverage,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,moe_compute,coverage,,,,,,,,moe_perf,1,32768,true,true,1;2;4;8;16;32;48;64;80;96;128;160;192;256;320;384;512;768;1024;1536;2048;3072;4096;6144;8192;12288;16384;20480;32768,,,,,,,,,moe_sol_prefill_misapplied_plus_ep_dispatch_fallback_undercharge,split_prefill_moe_charge_and_restore_ep8_alltoall_charge,false,false,false,false,false,false,true,No-Go
phase416_moe_charge_trace,perfdb_coverage,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,ep_dispatch_combine,coverage,,,,,,,,vllm_module_perf,1,8192,false,false,1;15;16;241;1808;2048;8192,,,,,,,,,moe_sol_prefill_misapplied_plus_ep_dispatch_fallback_undercharge,split_prefill_moe_charge_and_restore_ep8_alltoall_charge,false,false,false,false,false,false,true,No-Go
phase416_moe_charge_trace,summary,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,summary,summary,,,,,,,,,,,,,,,,,,,1182414.663744,,1913.521971,moe_sol_prefill_misapplied_plus_ep_dispatch_fallback_undercharge,split_prefill_moe_charge_and_restore_ep8_alltoall_charge,false,false,false,false,false,false,true,No-Go
