name,tp,dp,ep,max_bt,real_output_tok_s_gpu,sim_output_tok_s_gpu,error_ratio,rank,real_rank,rank_delta,diagnostic_only,valid_for_default,perf_database
K2.5-tp8ep8-8k2k,8,1,8,8000,133.528,166.97152528768902,1.2504607669379384,1,3,-2,True,False,False
K2.5-tp8ep8-8k2k-bt65536,8,1,8,65536,138.47,155.06988170267044,1.1198807084759907,2,1,1,True,False,False
K2.5-tp4ep8dp2-8k2k-bt65536,4,2,8,65536,113.91018618804273,140.52172886792104,1.233618639126338,3,4,-1,True,False,False
K2.5-tp4ep8dp2-8k2k,4,2,8,8000,137.716,97.22644651713581,1.4164458841528067,4,2,2,True,False,False
K2.5-tp4ep8dp2-32k3k,4,2,8,32000,53.27742857142858,57.04806605335657,1.0707736387253137,5,5,0,True,False,False
K2.5-tp8ep8-32k3k,8,1,8,32000,52.469142857142856,56.07875182774042,1.0687948911310674,6,6,0,True,False,False
