section,scenario,side,metric,value,target,status,source,note
track_a_attribution,K2.5-tp8ep8-32k3k,real,decode_real_total_ms,21.000000,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/serve.log,
track_a_attribution,K2.5-tp8ep8-32k3k,sim,decode_generation_attention_ms,31.029085,,,current IterationLatencyCalculator,attention term alone exceeds the real whole decode step
track_a_attribution,K2.5-tp8ep8-32k3k,real_vs_sim,total_gap,1.397081,,,,three-class representative wall-share replay; preemption work factor is reported separately
track_a_attribution,K2.5-tp8ep8-32k3k,real_vs_sim,cost_replay_factor,1.422267,,,,three-class representative wall-share replay; preemption work factor is reported separately
track_a_attribution,K2.5-tp8ep8-32k3k,real_vs_sim,cost_replay_residual,0.982292,,,,three-class representative wall-share replay; preemption work factor is reported separately
track_a_attribution,K2.5-tp8ep8-32k3k,real_vs_sim,preemption_ratio,4.619048,,,,three-class representative wall-share replay; preemption work factor is reported separately
track_a_attribution,K2.5-tp8ep8-32k3k,real_vs_sim,prompt_work_factor,1.381591,,,,three-class representative wall-share replay; preemption work factor is reported separately
track_a_attribution,K2.5-tp8ep8-32k3k,real_vs_sim,mixed_step_real_over_sim,1.888479,,,,three-class representative wall-share replay; preemption work factor is reported separately
track_a_attribution,K2.5-tp8ep8-32k3k,real_vs_sim,decode_step_sim_over_real,1.860557,,,,three-class representative wall-share replay; preemption work factor is reported separately
track_a_attribution,K2.5-tp8ep8-32k3k,real_vs_sim,preemption_role,secondary_unresolved_composition_error,,,,three-class representative wall-share replay; preemption work factor is reported separately
track_a_attribution,K2.5-tp8ep8-32k3k,real_vs_sim,verdict,decode_cost_overcharge_dominates,cost replay residual within 10%,pass,,three-class representative wall-share replay; preemption work factor is reported separately
track_b_step_cost,K2.5-tp8ep8-8k2k-bt65536,real,representative_large_mixed_step_ms,4701.850000,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_8k2k_bt65536/K2.5-tp8ep8-8k2k-bt65536/serve.log,ctx=65519; ctx_reqs=9; decode_batch=17
track_b_step_cost,K2.5-tp8ep8-8k2k-bt65536,sim,representative_large_mixed_step_ms,1724.754226,,,current IterationLatencyCalculator,"breakdown={'total_ms': 1724.7542259210727, 'context_non_attention_ms': 1588.7040646436224, 'context_attention_ms': 130.70125361802056, 'generation_non_attention_ms': 0.0, 'generation_attention_ms': 5.348907659429983, 'iteration_overhead_ms': 0.0}"
track_b_coverage,K2.5-tp8ep8-8k2k-bt65536,sim,serving_state_audit_counts,"{""table_missing"": 6}",representative shape covered,fail,vllm_serving_state_perf.txt query audit,"bounds=[('forward_total', 'forward_total', None, None, None, None), ('category', 'ep_a2a', None, None, None, None), ('category', 'moe_gemm_or_aux', None, None, None, None), ('category', 'other_cuda', None, None, None, None), ('category', 'collective_other', None, None, None, None), ('non_attn_total', 'non_attn_total', None, None, None, None)]"
track_b_cost_replay,K2.5-tp8ep8-8k2k-bt65536,real_trace,mixed_wall_share,0.315199,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_8k2k_bt65536/K2.5-tp8ep8-8k2k-bt65536/serve.log,count=80
track_b_cost_replay,K2.5-tp8ep8-8k2k-bt65536,sim_vs_real,mixed_representative_sim_over_real,0.366825,,,current IterationLatencyCalculator,ctx=65519; ctx_reqs=9; decode_batch=17; audit={'table_missing': 6}
track_b_cost_replay,K2.5-tp8ep8-8k2k-bt65536,real_trace,prefill_wall_share,0.000707,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_8k2k_bt65536/K2.5-tp8ep8-8k2k-bt65536/serve.log,count=1
track_b_cost_replay,K2.5-tp8ep8-8k2k-bt65536,sim_vs_real,prefill_representative_sim_over_real,0.254502,,,current IterationLatencyCalculator,ctx=8000; ctx_reqs=1; decode_batch=0; audit={'table_missing': 6}
track_b_cost_replay,K2.5-tp8ep8-8k2k-bt65536,real_trace,decode_wall_share,0.684093,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_8k2k_bt65536/K2.5-tp8ep8-8k2k-bt65536/serve.log,count=27942
track_b_cost_replay,K2.5-tp8ep8-8k2k-bt65536,sim_vs_real,decode_representative_sim_over_real,0.889833,,,current IterationLatencyCalculator,ctx=0; ctx_reqs=0; decode_batch=35; audit={'table_missing': 6}
track_b_large_step,K2.5-tp8ep8-8k2k-bt65536,real_vs_sim,large_real_over_sim_step_ratio,2.726099,,,,
track_b_large_step,K2.5-tp8ep8-8k2k-bt65536,real_vs_sim,large_coverage_miss_count,6,,,,
track_b_large_step,K2.5-tp8ep8-8k2k-bt65536,real_vs_sim,large_coverage_hit_count,0,,,,
track_b_large_step,K2.5-tp8ep8-8k2k-bt65536,real_vs_sim,large_verdict,large_mixed_step_undercharged_with_coverage_miss,,,,
track_b_attribution,K2.5-tp8ep8-8k2k-bt65536,real_vs_sim,observed_sim_wall_ratio,0.810030,,,,
