source,row_type,scenario,artifact_dir,window,rank,category,kernel_name,cuda_total_ms,cuda_time_avg_us,calls,category_cuda_ms,category_share_of_self_cuda,profiler_step_wall_ms,self_cuda_total_ms,unattributed_or_bubble_ms,phase426_steady_metric_penalty,phase426_prefill_share,phase426_decode_gap_share,phase426_peer_stall_share,phase415_decode_ep_dispatch_combine_ms,reconstruction_error_pct,reconstruction_gate,prefill_verdict,decode_verdict,mechanism_verdict,phase428_target,phase405_penalty_read,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase427_kernel_profile,kernel,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,0,ep_a2a,ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDev...,146.861000,68.212000,2153,,,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,0,ep_a2a,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...,101.843000,23.455000,4342,,,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,0,dense_gemm,nvjet_tst_64x16_64x16_2x1_v_bz_splitK_TNT,39.681000,18.430000,2153,,,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,0,tp_or_dp_allreduce,"void vllm::cross_device_reduce_2stage<__nv_bfloat16,...",29.079000,12.884000,2257,,,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,0,dense_gemm,nvjet_tst_64x16_64x16_4x1_v_bz_TNT,27.624000,12.830000,2153,,,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,0,dense_gemm,nvjet_tst_64x56_64x14_4x1_v_bz_splitK_TNT,26.202000,11.981000,2187,,,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,0,dense_gemm,nvjet_tst_64x56_64x14_4x1_v_bz_TNT,23.271000,10.473000,2222,,,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,0,other_cuda,"void at::native::reduce_kernel<128, 4, at::native::R...",21.122000,9.810000,2153,,,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,0,dense_gemm,"void router_gemm_kernel_bf16_output<__nv_bfloat16, 1...",16.373000,7.605000,2153,,,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,0,other_cuda,"void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...",14.418000,6.697000,2153,,,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
