source,row_type,scenario,artifact_dir,phase,row_kind,category,bucket_tokens,decode_batch,step_count,latency_ms,elapsed_ms_mean,attention_ms_mean,baseline_value,candidate_value,reconstruction_error_pct,reconstruction_gate,coverage_gate,metric,value,note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,5210,55,1,443.691406,477.610000,33.918594,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,5674,55,1,666.883779,702.730000,35.846221,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,1,4,1072.601028,1109.065000,36.463972,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,2,2,1068.983942,1105.545000,36.561058,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,3,2,1069.514959,1106.070000,36.555041,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,4,2,1069.975977,1106.525000,36.549023,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,5,2,1070.239397,1106.875000,36.635603,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,6,2,1071.162818,1107.885000,36.722182,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,7,2,1074.311238,1111.120000,36.808762,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,8,2,1074.504659,1111.400000,36.895341,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,9,2,1075.265392,1112.275000,37.009608,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
