name,tp,dp,ep,max_bt,real_output_tok_s_gpu,sim_output_tok_s_gpu,error_ratio,rank,real_rank,rank_delta,diagnostic_only,valid_for_default,perf_database
K2.5-tp8ep8-8k2k,8,1,8,8000,146.6397006101265,171.4007412403634,1.168856322859452,1,2,-1,True,False,False
K2.5-tp8ep8-32k3k,8,1,8,32000,50.1115946153076,50.397686469690846,1.0057090950024539,6,6,0,True,False,False
K2.5-tp4ep8dp2-8k2k,4,2,8,8000,162.94851622073128,154.04835398945744,1.0577751206084482,3,1,2,True,False,False
K2.5-tp4ep8dp2-32k3k,4,2,8,32000,53.27742857142858,63.70681554006375,1.1957562001073792,5,5,0,True,False,False
K2.5-tp8ep8-8k2k-bt65536,8,1,8,65536,124.01698784384152,163.5701871863423,1.3189337205343594,2,3,-1,True,False,False
K2.5-tp4ep8dp2-8k2k-bt65536,4,2,8,65536,109.49991052077841,131.40405900835864,1.2000380491947868,4,4,0,True,False,False
