scenario,section,dp_rank,phase_pair,bucket_tokens,decode_batch,count,busy_p50_ms,busy_p90_ms,decode_run_count,decode_run_max,decode_run_p50,decode_run_p90,decode_steps,metric,mixed_frequency,mixed_steps,share,target_high,target_low,tolerance,total_steps,wave_decode_batch_p50,wave_end_step,wave_mixed_steps,wave_prefill_tokens,wave_span_steps,wave_start_step
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,3,4,1104.5491333007812,1104.577880859375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,4,4,1106.2789306640625,1106.3055419921875,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,5,4,1107.2338256835938,1107.263916015625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,6,4,1108.0216064453125,1108.0523681640625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,7,4,1108.300537109375,1108.3275146484375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,8,4,1107.783203125,1107.8115234375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,9,4,1111.0182495117188,1111.045166015625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,10,4,1108.46044921875,1108.4791259765625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,11,4,1108.3954467773438,1108.43212890625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,12,4,1112.8298950195312,1112.859619140625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,13,4,1113.1726684570312,1113.2066650390625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,14,4,1114.2588500976562,1114.2833251953125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
