source,row_type,scenario,phase,category,bucket_tokens,decode_batch,metric,value,baseline_value,candidate_value,ratio,classification,window,reason,count,note
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,36,36,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,37,37,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,38,38,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,39,39,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,40,40,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,41,41,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,42,42,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,43,43,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,44,44,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,45,45,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,46,46,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,47,47,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,48,48,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,49,49,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,50,50,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,51,51,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,52,52,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,53,53,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,54,54,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,55,55,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,56,56,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,57,57,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,58,58,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,59,59,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,60,60,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,61,61,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,62,62,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,63,63,interpolation_gap,2,,,,miss,,,2,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,64,64,hit,3,,,,hit,,,3,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,1,1,bucket_below_range,1,,,,miss,,,1,bucket_below_range
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,2,2,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,3,3,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,4,4,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,5,5,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,6,6,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,7,7,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,8,8,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,9,9,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,10,10,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,11,11,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,12,12,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,13,13,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,14,14,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,15,15,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,16,16,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,17,17,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,18,18,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,19,19,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,20,20,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,21,21,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,22,22,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,23,23,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,24,24,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,25,25,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,26,26,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,27,27,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,28,28,interpolation_gap,1,,,,miss,,,1,interpolation_gap
