source,row_type,scenario,artifact_dir,bucket_tokens,decode_batch,step_count,category_sum_ms,non_attn_total_ms,candidate_gap_ms,candidate_error_pct,attention_ms,peer_wait_ms,host_gap_upper_ms,attention_error_upper_ms,explained_ms,unexplained_ms,explained_share,coverage_band,missing_categories,explain_gate,high_batch_gate,life_gate,metric,value,note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,3543,55,1,,329.876739,,,26.993261,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,3969,54,1,,879.934376,,,28.565624,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,4497,54,1,,905.920869,,,30.759131,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,5210,55,1,,443.691406,,,33.918594,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,5674,55,1,,666.883779,,,35.846221,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,2,2,,1068.983942,,,36.561058,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,3,2,,1069.514959,,,36.555041,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,4,2,,1069.975977,,,36.549023,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,5,2,,1070.239397,,,36.635603,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,6,2,,1071.162818,,,36.722182,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,7,2,,1074.311238,,,36.808762,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,8,2,,1074.504659,,,36.895341,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,9,2,,1075.265392,,,37.009608,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,10,2,,1072.781126,,,37.123874,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,11,2,,1072.631860,,,37.238140,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,12,2,,1077.522594,,,37.352406,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,13,2,,1076.953328,,,37.466672,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,14,2,,1076.734061,,,37.580939,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,15,2,,1076.669795,,,37.695205,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,16,2,,1080.420529,,,37.809471,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,17,2,,1078.873050,,,38.006950,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,18,2,,1081.240572,,,38.204428,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,19,2,,1075.843093,,,38.401907,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,20,2,,1082.090615,,,38.599385,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,21,2,,1081.668136,,,38.796864,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,22,2,,1084.020657,,,38.994343,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,23,2,,1086.833179,,,39.191821,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
