alignment_key,alignment_key_type,dp_rank,scenario,phase,topology_key,cb_engine_step_id,cb_iter_index,cb_scheduled_context_tokens,cb_scheduled_decode_tokens,cb_scheduled_total_tokens,cb_scheduled_context_reqs,cb_scheduled_decode_reqs,cb_scheduled_total_reqs,cb_forward_token_count,cb_forward_regime,cb_cudagraph_runtime_mode,vllm_engine_step_id,vllm_iter_index,vllm_scheduled_context_tokens,vllm_scheduled_decode_tokens,vllm_scheduled_total_tokens,vllm_scheduled_context_reqs,vllm_scheduled_decode_reqs,vllm_scheduled_total_reqs,vllm_forward_token_count,vllm_forward_regime,vllm_cudagraph_runtime_mode,scheduled_context_token_delta,scheduled_decode_token_delta,scheduled_total_token_delta,scheduled_context_req_delta,scheduled_decode_req_delta,scheduled_total_req_delta,forward_token_delta,same_phase,same_topology_key,same_scheduled_total_tokens,same_scheduled_total_reqs,same_forward_token_count,same_forward_regime,same_cudagraph_runtime_mode,valid_for_default,perf_database,diagnostic_only
engine_dp:0:step:18,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,18,18,0,8,8,0,8,8,8,FULL:8,FULL,18,18,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:19,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,19,19,0,8,8,0,8,8,8,FULL:8,FULL,19,19,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:20,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,20,20,0,8,8,0,8,8,8,FULL:8,FULL,20,20,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:21,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,21,21,0,8,8,0,8,8,8,FULL:8,FULL,21,21,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:22,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,22,22,0,8,8,0,8,8,8,FULL:8,FULL,22,22,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:23,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,23,23,0,8,8,0,8,8,8,FULL:8,FULL,23,23,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:24,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,24,24,0,8,8,0,8,8,8,FULL:8,FULL,24,24,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:25,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,25,25,0,8,8,0,8,8,8,FULL:8,FULL,25,25,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:26,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,26,26,0,8,8,0,8,8,8,FULL:8,FULL,26,26,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:27,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,27,27,0,8,8,0,8,8,8,FULL:8,FULL,27,27,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:28,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,28,28,0,8,8,0,8,8,8,FULL:8,FULL,28,28,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:29,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,29,29,0,8,8,0,8,8,8,FULL:8,FULL,29,29,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:30,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,30,30,0,8,8,0,8,8,8,FULL:8,FULL,30,30,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:31,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,31,31,0,8,8,0,8,8,8,FULL:8,FULL,31,31,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:32,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,32,32,0,8,8,0,8,8,8,FULL:8,FULL,32,32,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:33,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,33,33,0,8,8,0,8,8,8,FULL:8,FULL,33,33,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:34,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,34,34,0,8,8,0,8,8,8,FULL:8,FULL,34,34,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:35,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,35,35,0,8,8,0,8,8,8,FULL:8,FULL,35,35,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:36,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,36,36,0,8,8,0,8,8,8,FULL:8,FULL,36,36,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:37,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,37,37,0,8,8,0,8,8,8,FULL:8,FULL,37,37,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:38,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,38,38,0,8,8,0,8,8,8,FULL:8,FULL,38,38,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:39,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,39,39,0,8,8,0,8,8,8,FULL:8,FULL,39,39,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:40,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,40,40,0,8,8,0,8,8,8,FULL:8,FULL,40,40,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:41,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,41,41,0,8,8,0,8,8,8,FULL:8,FULL,41,41,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:42,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,42,42,0,8,8,0,8,8,8,FULL:8,FULL,42,42,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
