-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     830.821us         0.07%     830.821us      23.078us            36
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     809.857us         0.07%     809.857us      22.496us            36
                               _C_custom_ar::all_reduce         0.02%     223.404us         0.06%     704.517us      20.129us     617.310us         0.05%     617.310us      17.637us            35
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     273.859us         0.02%     273.859us       1.304us           210
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     254.274us         0.02%     254.274us       1.778us           143
                                  cudaStreamIsCapturing         0.01%     127.382us         0.01%     127.382us       0.520us     185.731us         0.01%     185.731us       0.758us           245
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_sli...         0.00%       0.000us         0.00%       0.000us       0.000us     171.583us         0.01%     171.583us       4.766us            36
                                            aten::index         0.12%       1.471ms         0.41%       5.031ms      71.868us     165.923us         0.01%     233.188us       3.331us            70
                                       cuLaunchKernelEx         0.04%     553.776us         0.04%     553.776us       5.274us     154.976us         0.01%     154.976us       1.476us           105
triton_red_fused__to_copy_add_mean_min_latency_fused...         0.00%       0.000us         0.00%       0.000us       0.000us     145.664us         0.01%     145.664us       4.162us            35
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     143.425us         0.01%     143.425us       2.020us            71
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     123.361us         0.01%     123.361us       3.427us            36
                                            aten::fill_         0.07%     869.022us         0.14%       1.765ms       4.203us     118.401us         0.01%     118.401us       0.282us           420
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     111.295us         0.01%     111.295us       3.180us            35
                                     aten::masked_fill_         0.02%     276.296us         0.04%     499.864us      14.282us     111.075us         0.01%     111.075us       3.174us            35
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     111.075us         0.01%     111.075us       3.174us            35
triton_red_fused__to_copy_add_clone_mean_min_latency...         0.00%       0.000us         0.00%       0.000us       0.000us     105.188us         0.01%     105.188us       3.005us            35
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     104.448us         0.01%     104.448us       2.901us            36
                                 aten::_index_put_impl_         0.05%     576.617us         0.16%       1.951ms      55.742us     101.825us         0.01%     227.137us       6.490us            35
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us      98.752us         0.01%      98.752us       2.821us            35
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      93.727us         0.01%      93.727us       2.678us            35
                                              aten::add         0.05%     625.364us         0.07%     886.124us       8.439us      91.803us         0.01%      91.803us       0.874us           105
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      83.135us         0.01%      83.135us       1.188us            70
triton_poi_fused_add_clone_copy_expand_index_mul_neg...         0.00%       0.000us         0.00%       0.000us       0.000us      73.502us         0.01%      73.502us       2.100us            35
                                     triton_red_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us      70.942us         0.01%      70.942us       2.027us            35
                    _vllm_fa3_C::get_scheduler_metadata         0.03%     389.618us         0.10%       1.214ms      34.673us      70.530us         0.01%      70.530us       2.015us            35
void flash::prepare_varlen_num_blocks_kernel<2, fals...         0.00%       0.000us         0.00%       0.000us       0.000us      70.530us         0.01%      70.530us       2.015us            35
                                           aten::gather         0.04%     461.176us         0.06%     718.307us      20.523us      69.021us         0.01%      69.021us       1.972us            35
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      57.182us         0.00%      57.182us       1.588us            36
                                     triton_poi_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us      54.910us         0.00%      54.910us       1.569us            35
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      53.439us         0.00%      53.439us       1.484us            36
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      51.486us         0.00%      51.486us       1.471us            35
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      50.177us         0.00%      50.177us       1.434us            35
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise...         0.05%     614.996us         0.07%     861.122us      24.603us      41.727us         0.00%      41.727us       1.192us            35
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise...         0.00%       0.000us         0.00%       0.000us       0.000us      41.727us         0.00%      41.727us       1.192us            35
## Call CompiledFxGraph f2pm2xckvpwl4dyaqebgtv6hhgte...         0.00%       0.000us         0.00%       0.000us       0.000us      41.727us         0.00%      41.727us       1.192us            35
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      41.626us         0.00%      41.626us       1.189us            35
                                              aten::sub         0.04%     440.916us         0.05%     598.222us       8.546us      40.159us         0.00%      40.159us       0.574us            70
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      40.159us         0.00%      40.159us       1.147us            35
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      35.266us         0.00%      35.266us       1.008us            35
