-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     792.998us         0.06%     792.998us      22.028us            36
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     766.788us         0.05%     766.788us      21.300us            36
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     756.799us         0.05%     756.799us      21.022us            36
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     268.325us         0.02%     268.325us       1.876us           143
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     258.750us         0.02%     258.750us       1.232us           210
                                            aten::fill_         0.04%       1.202ms         0.10%       2.954ms       6.493us     221.224us         0.02%     221.224us       0.486us           455
                                   cudaDriverGetVersion         0.00%       2.882us         0.00%       2.882us       0.082us     190.175us         0.01%     190.175us       5.434us            35
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_sli...         0.00%       0.000us         0.00%       0.000us       0.000us     174.400us         0.01%     174.400us       4.844us            36
                                            aten::index         0.05%       1.417ms         0.12%       3.475ms      49.643us     168.768us         0.01%     248.413us       3.549us            70
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     162.465us         0.01%     162.465us       4.513us            36
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     155.038us         0.01%     155.038us       2.184us            71
triton_red_fused__to_copy_add_mean_min_latency_fused...         0.00%       0.000us         0.00%       0.000us       0.000us     144.801us         0.01%     144.801us       4.137us            35
                    cudaThreadExchangeStreamCaptureMode         0.00%      71.585us         0.00%      71.585us       0.577us     130.752us         0.01%     130.752us       1.054us           124
                                     aten::masked_fill_         0.01%     278.046us         0.02%     519.600us      14.846us     117.153us         0.01%     117.153us       3.347us            35
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     117.153us         0.01%     117.153us       3.347us            35
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     110.081us         0.01%     110.081us       3.145us            35
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     104.833us         0.01%     104.833us       2.912us            36
triton_red_fused__to_copy_add_clone_mean_min_latency...         0.00%       0.000us         0.00%       0.000us       0.000us     104.674us         0.01%     104.674us       2.991us            35
                                 aten::_index_put_impl_         0.02%     635.100us         0.07%       1.967ms      56.195us     102.242us         0.01%     230.887us       6.597us            35
                                              aten::add         0.02%     647.769us         0.03%     963.399us       9.175us     101.314us         0.01%     101.314us       0.965us           105
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us      98.175us         0.01%      98.175us       2.805us            35
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      93.825us         0.01%      93.825us       2.681us            35
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      85.476us         0.01%      85.476us       1.221us            70
                                           aten::gather         0.02%     452.619us         0.03%     723.792us      20.680us      78.079us         0.01%      78.079us       2.231us            35
                                        cudaEventRecord         0.01%     200.220us         0.01%     200.220us       0.953us      71.808us         0.00%      71.808us       0.342us           210
triton_poi_fused_add_clone_copy_expand_index_mul_neg...         0.00%       0.000us         0.00%       0.000us       0.000us      71.235us         0.00%      71.235us       2.035us            35
                                     triton_red_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us      70.753us         0.00%      70.753us       2.022us            35
                    _vllm_fa3_C::get_scheduler_metadata         0.01%     337.763us         0.03%     787.885us      22.511us      70.117us         0.00%      70.117us       2.003us            35
void flash::prepare_varlen_num_blocks_kernel<2, fals...         0.00%       0.000us         0.00%       0.000us       0.000us      70.117us         0.00%      70.117us       2.003us            35
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      69.861us         0.00%      69.861us       0.998us            70
                                  cudaStreamIsCapturing         0.00%     130.986us         0.00%     130.986us       0.535us      69.856us         0.00%      69.856us       0.285us           245
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      65.887us         0.00%      65.887us       0.941us            70
                                     triton_poi_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us      60.772us         0.00%      60.772us       1.736us            35
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      55.933us         0.00%      55.933us       1.554us            36
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      55.840us         0.00%      55.840us       1.551us            36
                                   cudaEventSynchronize        49.96%        1.432s        49.96%        1.432s      20.169ms      54.561us         0.00%      54.561us       0.768us            71
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      54.369us         0.00%      54.369us       1.553us            35
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      51.295us         0.00%      51.295us       1.466us            35
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise...         0.02%     626.788us         0.03%     878.369us      25.096us      50.212us         0.00%      50.212us       1.435us            35
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise...         0.00%       0.000us         0.00%       0.000us       0.000us      50.212us         0.00%      50.212us       1.435us            35
## Call CompiledFxGraph fjmk7j3b5h6esrzstgad7fwnyglv...         0.00%       0.000us         0.00%       0.000us       0.000us      50.212us         0.00%      50.212us       1.435us            35
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      46.945us         0.00%      46.945us       1.341us            35
                                       cuLaunchKernelEx         0.02%     632.886us         0.02%     632.886us       6.027us      42.913us         0.00%      42.913us       0.409us           105
                                              aten::sub         0.02%     477.163us         0.02%     653.298us       9.333us      39.552us         0.00%      39.552us       0.565us            70
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      39.552us         0.00%      39.552us       1.130us            35
                                         cudaEventQuery         0.02%     463.697us         0.02%     463.697us       2.342us      32.129us         0.00%      32.129us       0.162us           198
                                    cudaStreamWaitEvent         0.01%     160.830us         0.01%     160.830us       1.149us       7.328us         0.00%       7.328us       0.052us           140
                               cudaEventRecordWithFlags         0.00%      98.611us         0.00%      98.611us       0.939us       3.520us         0.00%       3.520us       0.034us           105
                                           Buffer Flush         0.01%     341.495us         0.01%     342.852us      85.713us       1.824us         0.00%       1.824us       0.456us             4
                                          ProfilerStep*        41.34%        1.185s        48.68%        1.395s      39.864ms       0.000us         0.00%      19.373ms     553.518us            35
                 execute_context_0(0)_generation_51(51)         1.86%      53.325ms         7.12%     204.163ms       5.833ms       0.000us         0.00%      17.114ms     488.967us            35
                                            aten::slice         0.13%       3.798ms         0.16%       4.604ms       2.349us       0.000us         0.00%       0.000us       0.000us          1960
                                       aten::as_strided         0.05%       1.319ms         0.05%       1.319ms       0.443us       0.000us         0.00%       0.000us       0.000us          2975
                                        cudaMemcpyAsync         0.14%       4.017ms         0.14%       4.017ms       7.651us       0.000us         0.00%       0.000us       0.000us           525
                                       aten::lift_fresh         0.00%      43.843us         0.00%      43.843us       0.139us       0.000us         0.00%       0.000us       0.000us           315
                                          aten::flatten         0.00%      82.876us         0.01%     173.995us       4.971us       0.000us         0.00%       0.000us       0.000us            35
                                             aten::view         0.01%     346.839us         0.01%     346.839us       1.239us       0.000us         0.00%       0.000us       0.000us           280
                                     aten::index_select         0.02%     536.630us         0.06%       1.718ms      24.539us       0.000us         0.00%      78.079us       1.115us            70
                                           aten::detach         0.00%     114.665us         0.00%     114.665us       1.638us       0.000us         0.00%       0.000us       0.000us            70
                                               aten::to         0.02%     486.531us         0.21%       6.027ms      12.300us       0.000us         0.00%       1.247ms       2.545us           490
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 2.866s
Self CUDA time total: 1.438s
