start_index	end_index	duration_s	iteration_count_delta	iteration_tokens_delta	avg_tokens_per_iter	avg_iter_latency_ms	prompt_tokens_delta	generation_tokens_delta	generation_tok_s	request_success_delta	preemptions_delta
0	1	1.1052394169964828	4.0	15143.0	3785.75	276.3098542491207	15135.0	8.0	7.238250714709588	0.0	0.0
1	2	1.1135497500072233	8.0	136294.0	17036.75	139.19371875090292	136215.0	79.0	70.9442932383466	0.0	0.0
2	3	1.2091381669742987	4.0	33358.0	8339.5	302.28454174357466	33297.0	61.0	50.44915599070376	0.0	0.0
3	4	1.1948668750119396	4.0	33369.0	8342.25	298.7167187529849	33297.0	72.0	60.2577588396871	0.0	0.0
4	5	1.2054617499816231	4.0	45492.0	11373.0	301.3654374954058	45405.0	87.0	72.17151436063922	0.0	0.0
5	6	1.6160047500161454	4.0	39451.0	9862.75	404.00118750403635	39351.0	100.0	61.88100622785973	0.0	0.0
6	7	1.2974367080023512	136.0	89093.0	655.0955882352941	9.539975794134936	84756.0	4337.0	3342.7449472102808	0.0	0.0
7	8	1.1361015000147745	144.0	4608.0	32.0	7.889593750102601	0.0	4608.0	4055.9756324061495	0.0	0.0
8	9	1.1251441669883206	112.0	3584.0	32.0	10.04593006239572	0.0	3584.0	3185.36957765449	0.0	0.0
9	10	1.4603160829865374	116.0	3712.0	32.0	12.588931749883942	0.0	3712.0	2541.915440942398	0.0	0.0
10	11	1.1524382500210777	140.0	4480.0	32.0	8.231701785864841	0.0	4480.0	3887.4100195112946	0.0	0.0
11	12	1.2335142499650829	108.0	3456.0	32.0	11.421428240417434	0.0	3456.0	2801.7511756332196	0.0	0.0
12	13	1.1625513330218382	116.0	3712.0	32.0	10.02199425018826	0.0	3712.0	3192.977285872908	0.0	0.0
13	14	1.2242383750271983	108.0	3456.0	32.0	11.335540509511096	0.0	3456.0	2822.9796341118777	0.0	0.0
14	15	1.2973323339829221	108.0	3456.0	32.0	12.012336425767797	0.0	3456.0	2663.928054109144	0.0	0.0
15	16	1.3402282500173897	128.0	4096.0	32.0	10.470533203260857	0.0	4096.0	3056.1958382438615	0.0	0.0
16	17	1.119133582978975	104.0	3328.0	32.0	10.760899836336298	0.0	3328.0	2973.72900841858	0.0	0.0
17	18	1.0836474579991773	100.0	3200.0	32.0	10.836474579991773	0.0	3200.0	2952.989901262177	0.0	0.0
18	19	1.0813809590181336	92.0	2944.0	32.0	11.754140858892756	0.0	2944.0	2722.4448289463844	0.0	0.0
19	20	1.1221431249869056	92.0	2944.0	32.0	12.197207880292453	0.0	2944.0	2623.55125156994	0.0	0.0
20	21	1.1827043750090525	92.0	2944.0	32.0	12.855482337054918	0.0	2944.0	2489.2103742978597	0.0	0.0
21	22	1.371413916000165	104.0	3328.0	32.0	13.186672269232357	0.0	3328.0	2426.6925989101596	0.0	0.0
22	23	1.1112534999847412	108.0	3456.0	32.0	10.289384259117973	0.0	3456.0	3110.0014533564618	0.0	0.0
23	24	1.2958562499843538	96.0	3072.0	32.0	13.498502604003685	0.0	3072.0	2370.6333168027636	0.0	0.0
24	25	1.397687833989039	104.0	3328.0	32.0	13.439306096048453	0.0	3328.0	2381.075315295403	0.0	0.0
25	26	1.1827115830383264	112.0	3584.0	32.0	10.559924848556486	0.0	3652.0	3087.819593867675	0.0	0.0
26	27	1.679322041978594	112.0	3584.0	32.0	14.993946803380302	0.0	3516.0	2093.7020488681337	0.0	0.0
27	28	1.4834652499994263	124.0	3968.0	32.0	11.963429435479245	0.0	3968.0	2674.8183012723316	0.0	0.0
28	29	1.154935333004687	120.0	3840.0	32.0	9.624461108372392	0.0	3840.0	3324.861479482	0.0	0.0
29	30	1.244225375005044	94.0	3012.0	32.04255319148936	13.236440159628128	0.0	3072.0	2469.0060673192315	0.0	0.0
30	31	1.3446277920156717	106.0	3388.0	31.962264150943398	12.68516784920445	0.0	3328.0	2475.0343699286054	0.0	0.0
31	32	1.3483494159881957	104.0	3328.0	32.0	12.964898230655727	0.0	3328.0	2468.2029454219273	0.0	0.0
32	33	1.3012142090010457	112.0	3584.0	32.0	11.617984008937908	0.0	3584.0	2754.350494490427	0.0	0.0
33	34	1.309953374962788	108.0	3456.0	32.0	12.129197916322111	0.0	3456.0	2638.2618389743643	0.0	0.0
34	35	1.3155492500518449	96.0	3072.0	32.0	13.703638021373385	0.0	3072.0	2335.1463275730152	0.0	0.0
35	36	1.2159291659481823	108.0	3456.0	32.0	11.258603388409096	0.0	3456.0	2842.2708302296614	0.0	0.0
36	37	1.4041825840249658	100.0	3200.0	32.0	14.041825840249658	0.0	3200.0	2278.905917510728	0.0	0.0
37	38	1.4006681659957394	108.0	3456.0	32.0	12.969149685145736	0.0	3456.0	2467.3938366715993	0.0	0.0
38	39	2.246282084030099	162.0	5188.0	32.02469135802469	13.865938790309254	0.0	5248.0	2336.304971361593	0.0	0.0
39	40	1.1032210409757681	126.0	4028.0	31.96825396825397	8.755722547426732	0.0	3968.0	3596.740682620062	0.0	0.0
40	41	1.2263537920080125	92.0	2944.0	32.0	13.329932521826223	0.0	2944.0	2400.612302245619	0.0	0.0
41	42	1.2607080829911865	96.0	3072.0	32.0	13.132375864491527	0.0	3072.0	2436.725869728144	0.0	0.0
42	43	1.418612208974082	100.0	3200.0	32.0	14.18612208974082	0.0	3200.0	2255.7256872293447	0.0	0.0
43	44	1.1237545410403982	112.0	3584.0	32.0	10.033522687860698	0.0	3584.0	3189.308580396791	0.0	0.0
44	45	1.158574500004761	88.0	2816.0	32.0	13.165619318235919	0.0	2816.0	2430.5730878665363	0.0	0.0
45	46	1.1643645839649253	92.0	2944.0	32.0	12.656136782227449	0.0	2944.0	2528.417679946098	0.0	0.0
46	47	1.3133456250070594	96.0	3072.0	32.0	13.680683593823536	0.0	3072.0	2339.064402779343	0.0	0.0
47	48	1.1472977499943227	96.0	3072.0	32.0	11.951018229107527	0.0	3072.0	2677.5961166272677	0.0	0.0
48	49	1.1310543750296347	92.0	2944.0	32.0	12.294069293800376	0.0	2944.0	2602.881050632835	0.0	0.0
49	50	1.110956916003488	92.0	2944.0	32.0	12.075618652211826	0.0	2944.0	2649.967750856287	0.0	0.0
50	51	1.1220280419802293	88.0	2816.0	32.0	12.750318658866242	0.0	2816.0	2509.74119597772	0.0	0.0
51	52	1.086431999981869	86.0	2756.0	32.04651162790697	12.632930232347315	0.0	2816.0	2591.9707814635385	0.0	0.0
52	53	1.1509149170015007	86.0	2748.0	31.953488372093023	13.382731593040706	0.0	2688.0	2335.533200840853	0.0	0.0
53	54	1.1054035410052165	92.0	2944.0	32.0	12.015255880491484	0.0	2944.0	2663.2807755643935	0.0	0.0
54	55	1.1307656250428408	84.0	2688.0	32.0	13.461495536224296	0.0	2688.0	2377.150437251894	0.0	0.0
55	56	1.3619390419917181	92.0	2944.0	32.0	14.803685239040414	0.0	2944.0	2161.623912105974	0.0	0.0
56	57	1.4212115419795737	110.0	3524.0	32.03636363636364	12.920104927087033	0.0	3584.0	2521.792072563615	0.0	0.0
57	58	1.5164569159969687	114.0	3644.0	31.964912280701753	13.302253649096217	0.0	3584.0	2363.403775071157	0.0	0.0
58	59	1.5923864590004086	112.0	3584.0	32.0	14.217736241075077	0.0	3584.0	2250.709920159576	0.0	0.0
59	60	1.3536517500178888	124.0	3968.0	32.0	10.916546371112007	0.0	3968.0	2931.3300115392026	0.0	0.0
60	61	1.3315357079845853	108.0	3456.0	32.0	12.329034333190604	0.0	3456.0	2595.4993015027794	0.0	0.0
61	62	1.1261232920223847	100.0	3200.0	32.0	11.261232920223847	0.0	3200.0	2841.6071514276	0.0	0.0
62	63	1.1198712500045076	88.0	2816.0	32.0	12.725809659142131	0.0	2816.0	2514.574778117275	0.0	0.0
63	64	1.130280374956783	84.0	2688.0	32.0	13.455718749485511	0.0	2688.0	2378.1709915141873	0.0	0.0
64	65	1.1318457910092548	88.0	2816.0	32.0	12.861883988741532	0.0	2816.0	2487.9714377777586	0.0	0.0
65	66	1.0724254589877091	88.0	2816.0	32.0	12.18665294304215	0.0	2816.0	2625.823525914889	0.0	0.0
66	67	1.1105940830311738	84.0	2688.0	32.0	13.221358131323498	0.0	2688.0	2420.3262389653387	0.0	0.0
67	68	1.1704049169784412	84.0	2688.0	32.0	13.933391868790967	0.0	2688.0	2296.641069262966	0.0	0.0
68	69	1.123889375012368	92.0	2944.0	32.0	12.216188858830087	0.0	2944.0	2619.4748926847024	0.0	0.0
69	70	1.1653982080169953	88.0	2816.0	32.0	13.243161454738583	0.0	2816.0	2416.341453614912	0.0	0.0
70	71	1.261051666981075	92.0	2944.0	32.0	13.707083336750815	0.0	2944.0	2334.559381732439	0.0	0.0
71	72	1.122882750001736	96.0	3072.0	32.0	11.696695312518083	0.0	3072.0	2735.8154713795816	0.0	0.0
72	73	1.1307728749816306	88.0	2816.0	32.0	12.849691761154894	0.0	2816.0	2490.332110279658	0.0	0.0
73	74	1.1458418749971315	88.0	2816.0	32.0	13.020930397694677	0.0	2816.0	2457.5816798518117	0.0	0.0
74	75	1.153027666034177	88.0	2816.0	32.0	13.102587114024738	0.0	2816.0	2442.2657694637924	0.0	0.0
75	76	1.2038324999739416	88.0	2816.0	32.0	13.679914772431154	0.0	2816.0	2339.1958599397803	0.0	0.0
76	77	1.0911694589885883	92.0	2944.0	32.0	11.860537597702047	0.0	2944.0	2698.0227275869797	0.0	0.0
77	78	1.1293327910243534	84.0	2688.0	32.0	13.44443798838516	0.0	2688.0	2380.1664322186807	0.0	0.0
78	79	1.1495521669858135	88.0	2816.0	32.0	13.063092806656972	0.0	2816.0	2449.6495947493195	0.0	0.0
79	80	1.0891736670164391	88.0	2816.0	32.0	12.376973488823172	0.0	2816.0	2585.4462748019205	0.0	0.0
80	81	1.0749874159810133	84.0	2688.0	32.0	12.797469237869207	0.0	2688.0	2500.4943872268327	0.0	0.0
81	82	1.1203943340224214	84.0	2688.0	32.0	13.338027785981208	0.0	2688.0	2399.155295930127	0.0	0.0
82	83	1.1990380000206642	86.0	2756.0	32.04651162790697	13.942302325821677	0.0	2816.0	2348.5494204115876	0.0	0.0
83	84	1.1191546659683809	90.0	2876.0	31.955555555555556	12.43505184409312	0.0	2816.0	2516.184836314268	0.0	0.0
84	85	1.1325649589998648	88.0	2816.0	32.0	12.87005635227119	0.0	2816.0	2486.391599548275	0.0	0.0
85	86	1.1494425830314867	88.0	2816.0	32.0	13.061847534448713	0.0	2816.0	2449.883136026866	0.0	0.0
86	87	1.1178367919637822	84.0	2688.0	32.0	13.307580856711692	0.0	2688.0	2404.644416183334	0.0	0.0
87	88	1.0919442910235375	88.0	2816.0	32.0	12.408457852540199	0.0	2816.0	2578.886142039731	0.0	0.0
88	89	1.1135491249733604	84.0	2688.0	32.0	13.256537202063814	0.0	2688.0	2413.9033830809262	0.0	0.0
89	90	1.147933959029615	84.0	2688.0	32.0	13.665880464638272	0.0	2688.0	2341.598119696931	0.0	0.0
90	91	1.1440373749937862	88.0	2816.0	32.0	13.000424715838479	0.0	2816.0	2461.45804459867	0.0	0.0
91	92	1.1360364999854937	84.0	2688.0	32.0	13.524244047446354	0.0	2688.0	2366.1211589894547	0.0	0.0
92	93	1.1022119160043076	88.0	2816.0	32.0	12.525135409139859	0.0	2816.0	2554.8625986629186	0.0	0.0
93	94	1.0771566670155153	84.0	2688.0	32.0	12.82329365494661	0.0	2688.0	2495.4587223116378	0.0	0.0
94	95	1.185797666956205	80.0	2560.0	32.0	14.822470836952562	0.0	2628.0	2216.229693507282	0.0	0.0
95	96	1.1761972910026088	92.0	2944.0	32.0	12.784753163071835	0.0	2876.0	2445.168019005088	0.0	0.0
96	97	1.1955932500422932	88.0	2816.0	32.0	13.586286932298787	0.0	2816.0	2355.316074175215	0.0	0.0
97	98	1.179782624996733	88.0	2816.0	32.0	13.406620738599237	0.0	2816.0	2386.880379771484	0.0	0.0
98	99	1.12642445898382	92.0	2944.0	32.0	12.243744119389348	0.0	2944.0	2613.579611593189	0.0	0.0
