model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
moonshotai/Kimi-K2.5,4000,500,0,24,0.699,24,24,1438.477,66.278,34511.012,0.699,0.044,348.597,21.787,15.088,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,139.468,0.048,1.0,23.0,4023.0,4000,23.0,vllm,0.12.0,h200_sxm,0.0,21.787
moonshotai/Kimi-K2.5,4000,500,0,20,0.622,20,20,1343.738,61.799,32181.484,0.622,0.039,310.627,19.414,16.181,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,137.635,0.04,1.0,19.0,4019.0,4000,19.0,vllm,0.12.0,h200_sxm,0.0,19.414
moonshotai/Kimi-K2.5,4000,500,0,16,0.563,16,16,1248.494,54.29,28339.027,0.563,0.035,281.173,17.573,18.42,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,135.802,0.032,1.0,15.0,4015.0,4000,15.0,vllm,0.12.0,h200_sxm,0.0,17.573
moonshotai/Kimi-K2.5,4000,500,0,15,0.555,15,15,1224.293,51.504,26924.826,0.555,0.035,277.118,17.32,19.416,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,135.344,0.03,1.0,14.0,4014.0,4000,14.0,vllm,0.12.0,h200_sxm,0.0,17.32
moonshotai/Kimi-K2.5,4000,500,0,14,0.546,14,14,1200.116,48.712,25507.201,0.546,0.034,272.661,17.041,20.529,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,134.886,0.028,1.0,13.0,4013.0,4000,13.0,vllm,0.12.0,h200_sxm,0.0,17.041
moonshotai/Kimi-K2.5,4000,500,0,13,0.537,13,13,1175.963,45.912,24086.152,0.537,0.034,267.731,16.733,21.781,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,134.428,0.026,1.0,12.0,4012.0,4000,12.0,vllm,0.12.0,h200_sxm,0.0,16.733
moonshotai/Kimi-K2.5,4000,500,0,12,0.526,12,12,1151.836,43.106,22661.678,0.526,0.033,262.24,16.39,23.199,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,133.969,0.024,1.0,11.0,4011.0,4000,11.0,vllm,0.12.0,h200_sxm,0.0,16.39
moonshotai/Kimi-K2.5,4000,500,0,11,0.513,11,11,1127.734,40.293,21233.781,0.513,0.032,256.075,16.005,24.818,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,133.511,0.022,1.0,10.0,4010.0,4000,10.0,vllm,0.12.0,h200_sxm,0.0,16.005
moonshotai/Kimi-K2.5,4000,500,0,10,0.499,10,10,1103.656,37.473,19802.459,0.499,0.031,249.092,15.568,26.686,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,133.053,0.02,1.0,9.0,4009.0,4000,9.0,vllm,0.12.0,h200_sxm,0.0,15.568
moonshotai/Kimi-K2.5,4000,500,0,9,0.481,9,9,1079.603,34.796,18442.776,0.481,0.03,240.138,15.009,28.739,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,132.594,0.018,1.0,8.0,4008.0,4000,8.0,vllm,0.12.0,h200_sxm,0.0,15.009
moonshotai/Kimi-K2.5,4000,500,0,8,0.446,8,8,1085.401,33.151,17627.642,0.446,0.028,222.729,13.921,30.165,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,132.136,0.016,1.0,7.0,4007.0,4000,7.0,vllm,0.12.0,h200_sxm,0.0,13.921
moonshotai/Kimi-K2.5,4000,500,0,2,0.15,2,2,914.316,25.869,13822.774,0.15,0.009,74.604,4.663,38.657,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,129.387,0.004,1.0,1.0,4001.0,4000,1.0,vllm,0.12.0,h200_sxm,0.0,4.663
moonshotai/Kimi-K2.5,4000,500,0,1,0.091,1,1,872.662,21.122,11412.588,0.091,0.006,45.367,2.835,47.344,16,16,1,1,16,1,tp16pp1dp1etp16ep1,float16,float16,float16,float16,half,128.928,0.002,1.0,1.0,4000.0,4000,1.0,vllm,0.12.0,h200_sxm,0.0,2.835
