source,local_num_heads,tp_size,kv_cache_dtype,batch_size,target_seq_len,input_len,randomize_blocks,target_backend,kernel_entrypoint,kernel_source,eager6_ms,eager200_mean_ms,eager200_p50_ms,eager200_p99_ms,graph_mean_ms,graph_p50_ms,graph_p99_ms,graph_capture,warmup_iters,measure_iters,called_attention_kernel,called_model_forward,device,valid_for_default,perf_database,default_readiness
phase397o_mla_recollect,8,16,fp8,128,9001,9000,false,TritonMLAImpl,forward_mqa,vllm_triton_mla,0.777845,0.808354,0.807136,0.818496,0.764600,0.764512,0.767680,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,8,16,fp8,128,16384,16383,true,TritonMLAImpl,forward_mqa,vllm_triton_mla,1.373269,1.403704,1.403776,1.412960,1.358120,1.357920,1.364608,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,8,16,fp8,128,16384,16383,false,TritonMLAImpl,forward_mqa,vllm_triton_mla,1.368715,1.402106,1.401920,1.413632,1.356385,1.356160,1.361024,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,float16,64,8192,8191,true,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.244971,0.267721,0.267520,0.274752,0.252008,0.252800,0.261280,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,float16,64,8192,8191,false,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.257493,0.271742,0.271296,0.280096,0.249651,0.249504,0.252416,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,float16,64,9001,9000,true,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.253963,0.270785,0.270432,0.277952,0.245960,0.245824,0.249152,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,float16,64,9001,9000,false,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.253003,0.270399,0.269760,0.278688,0.245468,0.245344,0.247520,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,float16,64,16384,16383,true,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.442603,0.459844,0.459424,0.467488,0.435206,0.435104,0.439808,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,float16,64,16384,16383,false,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.441573,0.458935,0.458528,0.465504,0.434264,0.434144,0.437408,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,float16,128,8192,8191,true,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.447563,0.466076,0.465376,0.471584,0.440066,0.439872,0.443200,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,float16,128,8192,8191,false,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.447813,0.463296,0.462944,0.469088,0.439369,0.439328,0.441984,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,float16,128,9001,9000,true,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.490363,0.506842,0.506400,0.513280,0.482201,0.481952,0.484992,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,float16,128,9001,9000,false,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.488459,0.505939,0.505536,0.512448,0.481219,0.481152,0.484384,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,float16,128,16384,16383,true,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.869333,0.893704,0.893536,0.900256,0.865251,0.865792,0.873728,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,float16,128,16384,16383,false,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.867877,0.889198,0.889024,0.896736,0.864333,0.864256,0.868704,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,fp8,64,8192,8191,true,TritonMLAImpl,forward_mqa,vllm_triton_mla,0.369744,0.405028,0.405568,0.413280,0.360851,0.360480,0.366688,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,fp8,64,8192,8191,false,TritonMLAImpl,forward_mqa,vllm_triton_mla,0.374123,0.402944,0.401920,0.413120,0.359812,0.359648,0.363264,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,fp8,64,9001,9000,true,TritonMLAImpl,forward_mqa,vllm_triton_mla,0.408544,0.441471,0.440960,0.451328,0.397549,0.397440,0.400256,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,fp8,64,9001,9000,false,TritonMLAImpl,forward_mqa,vllm_triton_mla,0.410032,0.441703,0.441088,0.448768,0.397107,0.396992,0.399264,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,fp8,64,16384,16383,true,TritonMLAImpl,forward_mqa,vllm_triton_mla,0.713947,0.746149,0.745664,0.753888,0.698967,0.698880,0.701952,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,fp8,64,16384,16383,false,TritonMLAImpl,forward_mqa,vllm_triton_mla,0.710528,0.744960,0.742432,0.763872,0.698549,0.698368,0.701760,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,fp8,128,8192,8191,true,TritonMLAImpl,forward_mqa,vllm_triton_mla,0.716981,0.749757,0.749696,0.759712,0.703769,0.703584,0.708032,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,fp8,128,8192,8191,false,TritonMLAImpl,forward_mqa,vllm_triton_mla,0.715259,0.751349,0.751264,0.757312,0.702703,0.702656,0.705344,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,fp8,128,9001,9000,true,TritonMLAImpl,forward_mqa,vllm_triton_mla,0.795163,0.826216,0.826048,0.831488,0.777289,0.777248,0.781504,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,fp8,128,9001,9000,false,TritonMLAImpl,forward_mqa,vllm_triton_mla,0.791408,0.823098,0.823424,0.828832,0.776355,0.776384,0.779168,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,fp8,128,16384,16383,true,TritonMLAImpl,forward_mqa,vllm_triton_mla,1.422485,1.428791,1.428416,1.441248,1.377591,1.377472,1.382528,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,16,8,fp8,128,16384,16383,false,TritonMLAImpl,forward_mqa,vllm_triton_mla,1.389472,1.432001,1.431712,1.441760,1.376078,1.375872,1.381088,true,20,200,true,false,cuda:0,false,false,No-Go
